seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63600,0.903669435404522,0.9945817045252976,0.10870934709777827,0.9840416100322531,0.764670884301516,0.9664008331405665,0.4518592352744232,0.4600989377278405,0.1875,0.0,0.1875,0.0,0.25,0.0625,0.37090289392478343,0.309929455429054,0.1875,0.0
63601,0.7165183127974375,0.9816628854908708,0.0908219858722023,0.9857541301997914,0.8105027281710723,0.9105686374563875,0.5512520060811813,0.45610239142383063,0.25,0.0,0.3125,0.0625,0.375,0.125,0.9296990642734492,0.8123188920296023,0.22916666666666666,-0.0
63602,0.9267138504543548,0.9907346897314495,0.15176826052514056,0.9830183239270651,0.8660627292711133,0.8476996680216237,0.4749229949954681,0.46983581317396994,0.3125,0.0,0.3125,0.0,0.3125,0.125,0.3512060447741774,0.16946463919503724,0.3125,0.0
63603,0.8848259540024536,0.9939576374830684,0.08578350461433992,0.9833614669418496,0.7953997750997085,0.9553062902970622,0.44948906091678376,0.4659630890474902,0.25,0.0,0.3125,0.0625,0.1875,0.1875,0.11964037418659602,0.3097005938052302,0.22916666666666666,-0.0
63604,0.8580306747239961,0.9943395645974279,0.11256087334744314,0.9780092617595699,0.8274236818227282,0.9737675077176687,0.39618430269325355,0.3808802110097181,0.1875,0.0,0.1875,0.0,0.1875,0.0,0.5937320067394307,0.5463990722003591,0.1875,0.0
63605,0.8955228158562595,0.9866102078574437,0.10293895671555595,0.9799389932039999,0.797727367216043,0.9810805542504694,0.593563642291269,0.6030019370312176,0.3125,0.0,0.4375,0.125,0.4375,0.25,0.45723479165546266,0.29492774290297413,0.2556818181818182,-0.0
63606,0.6167505827056242,0.9939378500353999,0.20583115306805705,0.9860095179764643,0.8307880192546098,0.9608673890156798,0.8858901751621726,0.632831332580276,0.625,0.0,0.625,0.0,0.5625,0.1875,0.9994462251189786,0.873044528121524,0.625,0.0
63607,0.7583815994437999,0.9906823088128769,0.11275323857128153,0.9794888807699914,0.8374334668917636,0.9731215779833875,0.9392579730848893,0.5188117417128806,0.625,0.0,0.6875,0.0625,0.75,0.25,0.9994434831147908,0.8423297213689873,0.5208333333333334,-0.0
63608,0.9164752665745873,0.9921399174576802,0.19282627056270848,0.9847646180617474,0.8498744850327629,0.9781155525503116,0.558573625274816,0.3718311742689531,0.4375,0.0,0.4375,0.0,0.4375,0.0,0.991805317310791,0.6102330309905863,0.4375,0.0
63609,0.8912175419575059,0.9901150606292746,0.10754480025562047,0.9848218009321836,0.7690734129639245,0.9782247353121477,0.4832945195612532,0.5230779747528901,0.25,0.0,0.3125,0.0625,0.25,0.25,0.3898948695265551,0.7494431815174956,0.22916666666666666,-0.0
63610,0.7481859114368059,0.9946684100026411,0.1911057180429882,0.9875069365548841,0.8126173766623451,0.9270684802158703,0.4840469359306888,0.47099314937226144,0.375,0.0,0.375,0.0,0.3125,0.1875,0.5979204141714434,0.4584344717314145,0.375,0.0
63611,0.8659873387637019,0.9932804715532471,0.09885536652779209,0.9783192505659059,0.8763846638070643,0.9739030473982634,0.47519617482266074,0.37154332379082833,0.375,0.0,0.3125,0.0,0.375,0.0625,0.7993349314729372,0.20839175332290744,0.3125,0.0
63612,0.8985324181364345,0.9936391566236031,0.12116730112742258,0.9827575063398508,0.8331490953541991,0.9706400840578441,0.8096803870677223,0.44767833620848074,0.5,0.0,0.5,0.0,0.625,0.125,0.9967993615657111,0.689408437380229,0.5,0.0
63613,0.8243033163960866,0.9748521982031944,0.21600915271483032,0.985116186032122,0.8205851623640119,0.9828422307317884,0.47369480378144724,0.4602427850424695,0.1875,0.0,0.1875,0.0,0.375,0.1875,0.4423185874034261,0.39797044492869965,0.1875,0.0
63614,0.8796577887919557,0.9915259474135567,0.1616124839333191,0.9815599052442379,0.8335560374438125,0.982032444324654,0.6183907160801693,0.48612191436193264,0.4375,0.0,0.4375,0.0,0.5,0.0625,0.8800699028694485,0.1196056015168109,0.4375,0.0
63615,0.7272199768045654,0.9940813555262569,0.1268108622638684,0.9849848097425165,0.8413748809068609,0.9753886867107013,0.9488887657130681,0.4596300216507688,0.875,0.0,0.8125,0.0,0.75,0.0625,0.9999662874620283,0.21473098641445543,0.8125,0.0
63616,0.6736737780410228,0.9944991851456504,0.12235536074853812,0.9837862111800323,0.8595030518679291,0.9731257998456472,0.6983136326176541,0.5538331337213775,0.375,0.0,0.375,0.0,0.5625,0.1875,0.8476824049723871,0.25614796320540134,0.375,0.0
63617,0.8614737604522933,0.9920738630555676,0.11564272269847112,0.9875775584994003,0.8483041467778385,0.9710690268624255,0.4916202618844822,0.4573035559148093,0.25,0.0,0.25,0.0,0.3125,0.0625,0.022321275305008142,0.00915630452525252,0.25,0.0
63618,0.9013258721180422,0.9885923161928174,0.25852538805618897,0.9779523422694542,0.8441227944289191,0.9820063650134689,0.5561058407970818,0.45506493358742295,0.5,0.0,0.5,0.0,0.5,0.0,0.972183791805401,0.203240782688847,0.5,0.0
63619,0.7720956646420571,0.9928662187674262,0.15416074603876811,0.9853871078756856,0.8508009067491356,0.9774540846326788,0.5569348685328229,0.46395514137734173,0.375,0.0,0.375,0.0,0.4375,0.0625,0.9518809264363983,0.4960961450041447,0.375,0.0
63620,0.8962504822551203,0.9950243275009152,0.11865175439080737,0.9833400063694583,0.8066095662396522,0.9723395019973069,0.48811364854228867,0.33930196088240616,0.4375,0.0,0.375,0.0,0.375,0.0,0.9228261337337962,0.2678032589916045,0.375,0.0
63621,0.7693643696379332,0.9913607608146914,0.7546024462073713,0.9873858638129427,0.8101862227438713,0.9514141581201606,0.49592344768569785,0.444495117842488,0.3125,0.0,0.3125,0.0,0.25,0.1875,0.4146053668746056,0.3640019466716252,0.3125,0.0
63622,0.9266632106004168,0.9930932013223183,0.14492946535744936,0.9877505833157507,0.7735801381098668,0.9319463205502528,0.7961063687660626,0.44537466326803843,0.6875,0.0,0.625,0.0,0.5625,0.0625,0.9954374803405395,0.20615961262011345,0.625,0.0
63623,0.8425906142285646,0.9915679450964658,0.10670051938677273,0.9862491385611396,0.917130647486362,0.9796877228519939,0.7234354369316015,0.5008841989812544,0.5625,0.0,0.5625,0.0625,0.5,0.125,0.9871152592196382,0.5242607947605737,0.5625,-0.0
63624,0.917441039280512,0.9947826388388689,0.18720429333999106,0.9868399276625539,0.8620089279065152,0.9562586812216702,0.4617829148223927,0.5509024965866336,0.1875,0.0,0.1875,0.0,0.25,0.3125,0.4816443174361651,0.8934550970328302,0.1875,0.0
63625,0.8200770167862578,0.9935330964763627,0.2027627457561514,0.9837758948358913,0.8573926397939536,0.9783813956173202,0.52628028032102,0.3795015292375307,0.25,0.0,0.25,0.0625,0.25,0.0625,0.5776916597092242,0.409150308346407,0.16666666666666666,-0.0
63626,0.7903193926970684,0.9933551013527598,0.20406620002696,0.9846803882061049,0.8221404228152045,0.9725000700044014,0.48815296632256533,0.5202206515484719,0.3125,0.0,0.3125,0.0625,0.3125,0.1875,0.8762861771407957,0.779471716185242,0.3125,-0.0
63627,0.915346909189678,0.9920624460856509,0.27022471027517764,0.9804593168845148,0.8475457793095575,0.9784317620140127,0.38838882151795584,0.4334808178883663,0.0625,0.0,0.125,0.0625,0.1875,0.125,0.10802609531708962,0.43768630847421686,0.058333333333333334,-0.0
63628,0.9271843578956834,0.9936384461373281,0.6114272294823175,0.9833494329793449,0.8495214580403585,0.9643183458464368,0.5993051017311992,0.45806088099811626,0.375,0.0,0.375,0.0,0.4375,0.0625,0.9703254028573678,0.5251214851297439,0.375,0.0
63629,0.8537028460733168,0.9933421212255392,0.3930770042343531,0.9854792329896694,0.8347542987672344,0.9063918216685346,0.46245901830172087,0.44308464933050173,0.25,0.0,0.1875,0.0,0.1875,0.0,0.18301117437225112,0.11698455490820012,0.1875,0.0
