seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63000,periodic,16,early,0,0.0,-0.7467604724511623,0.0,0.44985815074223573,0.03481476054247862
63001,jittered,16,early,0,0.75,0.04524226243031088,0.0,0.48824818168649725,0.03468118414502458
63002,bernoulli,16,early,0,0.25,-0.1938222972070769,0.0,0.46777748222135107,0.02860942934459204
63003,clustered,16,early,0,1.0,-0.3397550665620198,0.0,0.4743085977581267,0.021640320915662425
63004,periodic,32,early,0,0.5,-0.4678663178571423,0.0,0.559765589300019,0.03538648737240074
63005,jittered,32,early,0,0.0,-2.7202222581189335,0.0,0.47783074631911104,0.056572108929094644
63006,bernoulli,32,early,0,0.75,0.24703090194162222,0.0,0.5474933543418741,0.04808522961819728
63007,clustered,32,early,0,0.25,-0.8031438260595988,0.0,0.4943255882331671,0.045188348156276315
63008,periodic,64,early,0,1.0,2.453216538850976,0.0,0.8017864634201298,0.04532426777785603
63009,jittered,64,early,0,0.5,-0.159776298649292,0.0,0.6849586061383225,0.041833261926084275
63010,bernoulli,64,early,0,0.0,-0.47569891711591644,0.0,0.6710443005121624,0.05192726839646877
63011,clustered,64,early,0,0.75,-0.5593834646007673,0.0,0.70038662007501,0.053607774777696404
63012,periodic,80,early,0,0.25,-2.0468714368482552,0.0,0.7066049755209077,0.05305552491323673
63013,jittered,80,early,0,1.0,2.3984490614681198,0.0,0.7672615582114604,0.04111062455893433
63014,bernoulli,80,early,0,0.5,1.944414955116561,0.0,0.751064965466251,0.04806964118197754
63015,clustered,80,early,0,0.0,-1.5267774535929186,0.0,0.8310781760369165,0.05737250863584642
63016,periodic,16,middle,0,0.75,-1.3629414242443287,0.0,0.4505303596874113,0.03191293467327955
63017,jittered,16,middle,0,0.25,-1.907050270587946,0.0,0.3936640421989215,0.056334155593805446
63018,bernoulli,16,middle,0,1.0,0.3187828619053879,0.0,0.5095431401605783,0.03107593065799341
63019,clustered,16,middle,0,0.5,-0.27568093811482636,0.0,0.48518305888425683,0.033302963785454165
63020,periodic,32,middle,0,0.0,-2.959246653783267,0.0,0.4973114000914548,0.056147803273962626
63021,jittered,32,middle,0,0.75,-1.1196155709523992,0.0,0.610559832495521,0.04266594459064421
63022,bernoulli,32,middle,0,0.25,-0.513323477595838,0.0,0.575920914146526,0.03501451424706992
63023,clustered,32,middle,0,1.0,1.3622890282693092,0.0,0.5779821265153949,0.044100083614633134
63024,periodic,64,middle,0,0.5,-0.3189904713601927,0.0,0.654608046195526,0.035135075902421486
63025,jittered,64,middle,0,0.0,-1.8893943201336432,0.0,0.6550759750594803,0.05153885306145334
63026,bernoulli,64,middle,0,0.75,0.07329897350767213,0.0,0.6855877560236427,0.03582439071329713
63027,clustered,64,middle,0,0.25,-1.1990378664301609,0.0,0.7074633901431951,0.05277898940504355
63028,periodic,80,middle,0,1.0,1.7280368646229503,0.0,0.7516491158067372,0.03540775689008979
63029,jittered,80,middle,0,0.5,-1.60184780770132,0.0,0.7081968935789709,0.05785339981581661
63030,bernoulli,80,middle,0,0.0,-2.6746306183378423,0.0,0.6042122593898825,0.057650394850975895
63031,clustered,80,middle,0,0.75,-0.21860138703563695,0.0,0.7404308671489767,0.048459827110244325
63032,periodic,16,late,0,0.25,-1.2679906300717625,0.0,0.41069721016680244,0.04229747656562688
63033,jittered,16,late,0,1.0,0.05858572180022835,0.0,0.4986651550977401,0.045127962974153724
63034,bernoulli,16,late,0,0.5,-1.4304176475376549,0.0,0.40464966547341574,0.04284055249246993
63035,clustered,16,late,0,0.0,-1.7534198737985947,0.0,0.42492417042227143,0.0386302222987433
63036,periodic,32,late,0,0.75,-0.9317585871597106,0.0,0.5433371415134004,0.04040578617155044
63037,jittered,32,late,0,0.25,-0.3755558002380121,0.0,0.6054265312153844,0.04688746845914771
63038,bernoulli,32,late,0,1.0,-0.042431291015736186,0.0,0.5299765234496999,0.04218019672823198
63039,clustered,32,late,0,0.5,-1.233731796425171,0.0,0.5811578002741346,0.0414908028192692
63040,periodic,64,late,0,0.0,-2.7157070594527473,0.0,0.6872694482766628,0.05723076808824368
63041,jittered,64,late,0,0.75,0.23734968257152217,0.0,0.7407477699959719,0.04493478826574987
63042,bernoulli,64,late,0,0.25,-1.103336992087645,0.0,0.6188608994778634,0.04951786518394391
63043,clustered,64,late,0,1.0,2.515661172745805,0.0,0.773341773372704,0.04127226764594499
