seed,regularity,run_length,acute_timing,acute_count,low_final,high_final,low_minus_high,low_maximum_step,high_maximum_step
63600,periodic,16,early,1,0.4649317650097919,0.46111519425381053,0.003816570755981352,0.04102094042462262,0.045619641625632035
63601,jittered,16,early,1,0.5199394484116789,0.47114210598940337,0.04879734242227557,0.05648919826817461,0.0296772368241216
63602,bernoulli,16,early,1,0.49000649810980473,0.44725650650182797,0.04274999160797677,0.05504762425500975,0.056334155593805446
63603,clustered,16,early,1,0.43673996187640346,0.3684427863449339,0.06829717553146958,0.04304452772535272,0.04877162790557149
63604,periodic,32,early,1,0.6204233955430947,0.47234434582231505,0.14807904972077962,0.04932020113511704,0.05732685211005745
63605,jittered,32,early,1,0.6384431198996954,0.6066617986946259,0.03178132120506949,0.05648919826817461,0.030570352362767894
63606,bernoulli,32,early,1,0.5908994653707051,0.5694348924430069,0.02146457292769821,0.039974733240693616,0.057710434842436764
63607,clustered,32,early,1,0.5969219853338056,0.2830161091446706,0.31390587618913496,0.043279997594734,0.051406677445259785
63608,periodic,64,early,1,0.6740800207121113,0.7470752232341531,-0.07299520252204184,0.034437276855256105,0.05820743441686427
63609,jittered,64,early,1,0.6779509801335348,0.42653974762587965,0.2514112325076552,0.05648919826817461,0.058073193128341694
63610,bernoulli,64,early,1,0.6696121027481989,0.7042662540877125,-0.03465415133951355,0.03519162791165786,0.05524512389429037
63611,clustered,64,early,1,0.7149682339517862,0.7054121896237309,0.009556044328055346,0.037155333767190046,0.05237590591313329
63612,periodic,80,early,1,0.6748255321892643,0.7348259150440669,-0.06000038285480258,0.03481476054247862,0.05568513680628451
63613,jittered,80,early,1,0.6877168433557005,0.7607319371094027,-0.07301509375370219,0.05648919826817461,0.055173738258406546
63614,bernoulli,80,early,1,0.742920279928914,0.580088951970317,0.162831327958597,0.049807027206272614,0.0584309553167105
63615,clustered,80,early,1,0.8573568526936028,0.5543556080821853,0.30300124461141753,0.03919956331673036,0.055067880988397544
63616,periodic,16,middle,1,0.5403765337194866,0.4440847102227044,0.09629182349678217,0.04812977891712089,0.04192778461970986
63617,jittered,16,middle,1,0.478694207380582,0.4186146021753137,0.06007960520526828,0.03876321524359977,0.0402077861743631
63618,bernoulli,16,middle,1,0.4846218741200644,0.4406264628264628,0.04399541129360163,0.031979942872221945,0.02880522459026258
63619,clustered,16,middle,1,0.5233272435404078,0.4129409318175183,0.11038631172288954,0.053486919005843125,0.042020757829129896
63620,periodic,32,middle,1,0.6929040562936669,0.5147176891510724,0.1781863671425945,0.05228216148410736,0.053792741320216164
63621,jittered,32,middle,1,0.5705734373998923,0.5584767970952105,0.012096640304681827,0.030486420853495844,0.0561245303512819
63622,bernoulli,32,middle,1,0.5176603313078199,0.46862798519262416,0.04903234611519569,0.07975590647835712,0.057543623065414384
63623,clustered,32,middle,1,0.5879097949817906,0.418715706236241,0.16919408874554964,0.041714041001580826,0.045794631741379654
63624,periodic,64,middle,1,0.6816974121702739,0.5414615727437397,0.14023583942653417,0.04266518992891122,0.05831799227785861
63625,jittered,64,middle,1,0.72015538641417,0.7432074850357668,-0.02305209862159685,0.04562459719844558,0.055293169323440805
63626,bernoulli,64,middle,1,0.7795030784470708,0.477253222341569,0.3022498561055018,0.05349142399798079,0.056066329731685016
63627,clustered,64,middle,1,0.6680197484998137,0.6749469587286051,-0.006927210228791392,0.048863404483727835,0.058251317138498515
63628,periodic,80,middle,1,0.7706848841909805,0.5716298486635712,0.19905503552740922,0.06662496505794979,0.05840815598720306
63629,jittered,80,middle,1,0.8068391330884537,0.5654323170207904,0.24140681606766323,0.04734916269092415,0.05693314711095154
63630,bernoulli,80,middle,1,0.6360888115352847,0.48937507212434833,0.1467137394109364,0.05598969444191637,0.05815591521278318
63631,clustered,80,middle,1,0.742395561693833,0.7465682051510659,-0.004172643457232894,0.058611031140827774,0.056341732201907746
63632,periodic,16,late,1,0.4404330965096053,0.34952630419776876,0.09090679231183657,0.0322114478191044,0.041632860870176425
63633,jittered,16,late,1,0.5210894115570663,0.45486733592384204,0.0662220756332243,0.057260568974581594,0.04162815459058761
63634,bernoulli,16,late,1,0.39817322286028783,0.411083937896688,-0.012910715036400178,0.03248412072638307,0.036437922806902334
63635,clustered,16,late,1,0.4786305703337535,0.48042585804732,-0.001795287713566518,0.03288292127622716,0.02445112892576723
63636,periodic,32,late,1,0.6336957364907486,0.426709475324562,0.20698626116618662,0.052040498842302774,0.05211134081946944
63637,jittered,32,late,1,0.6312878763286689,0.4815184143947221,0.1497694619339468,0.0579515245052602,0.04608962941155659
63638,bernoulli,32,late,1,0.5607101391158229,0.4877602933970556,0.07294984571876728,0.04435598444560962,0.05033453592842696
63639,clustered,32,late,1,0.5126081238221237,0.35259366953892435,0.16001445428319938,0.05588091314552135,0.05423680009985826
