index,seed,joint_stage_scale,persistent_prior,analytic_step_bound,adaptive_persistence,policy_effect,transition_effect,observation_effect,structure_effect,root_effect,mediator_effect
0,63840,1.0162601803368825,0.10883483752262263,0.288631227553528,0.6865995325459382,0.1875,0.125,0.125,-0.0015053223410561034,-0.009035907624637476,0.125
1,63841,0.923154801467694,0.15595577288766616,0.2867691199761442,0.6201719154601992,0.5625,0.5625,0.5625,0.1436240194968173,0.8839588999677709,0.5625
2,63842,0.9111100042824983,0.2761092321165216,0.28652822403244027,0.8153060776074548,0.25,0.1875,0.1875,0.017897012931524126,0.027521837954186057,0.25
3,63843,0.9375381464153126,0.16670104680871345,0.28705678687509656,0.7093709959459844,0.25,0.1875,0.1875,0.02988941511764648,0.06001917637352068,0.1875
4,63844,1.0299010832631417,0.11287748270358086,0.28890404561205313,0.7630967275758052,0.25,0.1875,0.1875,0.028816415209692137,0.22916969711530466,0.25
5,63845,1.0235596307793144,0.27589407194045823,0.2887772165623766,0.909291367642346,0.8125,0.75,0.75,0.31178714333186947,0.6060045854531076,0.8125
6,63846,1.0290016727067268,0.21364402047301384,0.2888860574009249,0.8320590079327674,0.625,0.5,0.5,0.3029694437166852,0.22764552478324207,0.5
7,63847,0.9890139507162575,0.1295371763901339,0.2880863029611155,0.8187524978884829,0.6875,0.625,0.5,0.4144518720192818,0.19541963524632777,0.625
8,63848,1.0757665662227145,0.19387950757951378,0.2898213552712446,0.8289527435038787,0.1875,0.1875,0.1875,0.018747157733105202,0.022123331188264816,0.1875
9,63849,1.0773670899013794,0.16084050176503167,0.2898533657448179,0.8282483470473033,0.4375,0.375,0.375,0.10952285015275043,0.6958924865176207,0.375
10,63850,0.9703338144085392,0.24593831071475983,0.2877127002349611,0.890665297382767,0.6875,0.625,0.125,0.21921566634767675,0.06933652144491886,0.625
11,63851,0.9048011770731443,0.16026437975571148,0.2864020474882532,0.7113734903875579,0.375,0.3125,0.3125,0.0519429615042446,0.40708409793304967,0.3375
12,63852,1.0643417076418844,0.13646893163478016,0.289592858099628,0.8423205006052452,0.25,0.25,0.25,0.057541578034448926,0.14090845499802507,0.25
13,63853,1.089153999097804,0.27118651417431866,0.29008910392874643,0.9197122641990874,0.25,0.25,0.125,-0.0243981251262978,0.023608976141055782,0.25
14,63854,1.0469911025253198,0.18737190308239754,0.2892458459972967,0.8906520285569275,0.25,0.25,0.0,0.01506020626804655,-0.04887710971747747,0.22916666666666666
15,63855,0.9688304561727372,0.14365260804174831,0.28768263307024505,0.7759115188230159,0.5,0.4375,0.4375,0.10137554144032562,0.25465506965672646,0.4375
16,63856,0.9718448916057458,0.28717726249464687,0.28774292177890526,0.8520937647850478,0.4375,0.375,0.25,0.10426365950319905,0.1839143352292456,0.375
17,63857,1.0999181183730238,0.1308078082187855,0.2903043863142508,0.6709583627097708,0.375,0.375,0.375,0.049421313964601254,0.6961415441481702,0.375
18,63858,1.0363868526550615,0.22154651029276265,0.28903376099989153,0.8918280653519088,0.25,0.25,0.125,0.039791952185210644,0.05254521362309106,0.22916666666666666
19,63859,1.083375434537139,0.15373825126853422,0.2899735326375331,0.6454046259578914,0.25,0.25,0.25,0.05759019691814782,0.06845326524641182,0.22916666666666666
20,63860,0.9577342347353325,0.23020542242210013,0.287460708641497,0.5297836761855361,0.25,0.25,0.125,0.009251441211984734,-0.024225143089876472,0.25
21,63861,1.0767183005834502,0.3278695990961477,0.28984038995845934,0.9343226105693555,0.1875,0.1875,0.1875,0.0035339401415931393,0.014948584025640033,0.1875
22,63862,0.950580903821675,0.3221293929902654,0.2873176420232238,0.8943795226364286,0.375,0.25,0.25,0.0649600537759456,0.24614510571997472,0.3125
23,63863,1.028096097122138,0.15953739880288798,0.2888679458892331,0.7127203559550355,0.5,0.5,0.375,0.10066042313441398,0.7535401050472079,0.5
24,63864,0.9025763073751724,0.10614955877497415,0.28635755009429376,0.7888014198822453,0.0625,0.0625,0.0625,-0.012038502175879429,-0.09720301054275785,0.0625
25,63865,0.9982460916712623,0.10591578652166705,0.28827094578021556,0.8301239354199419,0.1875,0.1875,-0.0625,-0.022205474395820102,-0.4440372455561989,0.17307692307692307
26,63866,1.044598678002181,0.309871426194906,0.28919799750683395,0.9188125054540784,0.5625,0.5625,0.5625,0.020456154923288894,0.9199384687986375,0.5625
27,63867,1.0546859432760327,0.12313154885224692,0.28939974281231096,0.8346307425062383,0.3125,0.3125,0.3125,0.05999422788908787,0.5128726645023352,0.3125
28,63868,0.9595378345653721,0.12349106469588239,0.28749678063809775,0.6283761049345132,0.625,0.5625,0.3125,0.11113844730761291,0.39853675642953934,0.5625
29,63869,0.9152027763234638,0.31179101680305354,0.2866100794732596,0.83942655236676,0.6875,0.6875,0.4375,0.2976598665690806,0.11255889930358587,0.6875
30,63870,0.9852952613953583,0.16115817102239888,0.2880119291746975,0.7822032939175849,0.375,0.375,0.375,0.08299309849731479,0.2169743357357522,0.3375
31,63871,1.0075366849114173,0.2392045387084196,0.28845675764501866,0.8010292215937922,0.125,0.125,0.125,-0.019903834282972432,-0.18362143128517427,0.125
