seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
63600,0.8121787091588709,0.965551205833965,0.16311497050254792,0.9449171185670193,0.693150863194107,0.8767995528117691,0.4415305641623468,0.4632492813746152,0.1875,0.0,0.1875,0.0,0.25,0.0625,0.37129856460876776,0.3100231592517044,0.1875,0.0
63601,0.6082397205863678,0.8451168842357913,0.13618038760627382,0.9622777788759522,0.7423453508704625,0.7858277957773634,0.5536033642683857,0.4651165204688532,0.25,0.0,0.3125,0.0625,0.375,0.125,0.9296881878919445,0.8125622897296847,0.22916666666666666,-0.0
63602,0.8414171378841689,0.9171274862043342,0.2115079955603919,0.9530577751352292,0.7832725253385152,0.6357274625233461,0.4973111449178707,0.47140052032935426,0.3125,0.0,0.3125,0.0,0.3125,0.125,0.35080098467974624,0.16937149108750804,0.3125,0.0
63603,0.7910818676078093,0.9543893828136075,0.134442376940865,0.9410791969232106,0.7251361266821934,0.8335993047030938,0.45998784465572173,0.4670569056226358,0.25,0.0,0.3125,0.0625,0.1875,0.1875,0.1190010202644779,0.3093117853286505,0.22916666666666666,-0.0
63604,0.757267338493872,0.9598512227759166,0.16544896601729853,0.9288538074579433,0.7698523548716156,0.8753328191434486,0.42864706701683075,0.4148552275060682,0.1875,0.0,0.1875,0.0,0.1875,0.0,0.5926812929632924,0.5447990349346133,0.1875,0.0
63605,0.8158831926731842,0.8881888530070051,0.15204057013537128,0.896795150717248,0.7267284140703227,0.9211137752618571,0.5198938001314097,0.5170358962735015,0.3125,0.0,0.4375,0.125,0.4375,0.25,0.4555242078526115,0.29251072459052396,0.2556818181818182,-0.0
63606,0.5644014239768728,0.961817871687855,0.27200085656473827,0.9560631473083554,0.7652427769383372,0.8743626039836319,0.7847479683474604,0.5723020364030236,0.625,0.0,0.625,0.0,0.5625,0.1875,0.9994062378186284,0.8716465862389109,0.625,0.0
63607,0.6661878650637807,0.9196083706947279,0.16872306488511762,0.9263007727207238,0.7743420983479327,0.9103096560431,0.7540963123913274,0.5056284764956984,0.5625,0.0,0.625,0.0625,0.6875,0.25,0.9979493731215683,0.8423051493751856,0.4821428571428572,-0.0
63608,0.8291023955618642,0.9298835846397208,0.2842236858468173,0.9316530458850543,0.7905665822163983,0.9218426234498308,0.5169045404402011,0.3967912594246482,0.4375,0.0,0.4375,0.0,0.4375,0.0,0.9918224720943372,0.6096908542510712,0.4375,0.0
63609,0.7547900213676054,0.9042891642784978,0.1629871930094823,0.9588410195685712,0.6864830650135605,0.9139415456273541,0.4911071118854087,0.5201944648245475,0.25,0.0,0.3125,0.0625,0.25,0.25,0.39068827076440027,0.7495028666533508,0.22916666666666666,-0.0
