event,precision,control,broadcast,real_danger,masked,E_T_logBF_P_T,E_T_logBF_D_T,E_T_logBF_P_D,E_D_logBF_P_T,E_D_logBF_D_T,E_D_logBF_P_D,E_P_logBF_P_T,E_P_logBF_D_T,E_P_logBF_P_D
False,ordinary,low,collapsed,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,collapsed,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,collapsed,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,integrated,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,integrated,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,integrated,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,low,integrated,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,collapsed,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,collapsed,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,collapsed,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,integrated,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,integrated,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,integrated,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,ordinary,high,integrated,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,overwhelm,low,collapsed,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,overwhelm,low,collapsed,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,overwhelm,low,collapsed,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,overwhelm,low,collapsed,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,overwhelm,low,integrated,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
