seed,truth,predicted,T_probability,D_probability,P_probability
750000,T,T,0.9095923915823724,0.05473479874098374,0.03567280967664386
750001,D,D,0.004127376548244695,0.9958726233930977,5.865756236538594e-11
750002,P,P,1.2971315695699156e-06,5.491601891007921e-10,0.9999987023192702
750003,T,T,0.9896588033303864,0.010341195823080136,8.46533513644747e-10
750004,D,D,0.00030969352462511277,0.9996903064684804,6.894392154654313e-12
750005,P,P,1.9151768867423146e-09,7.673575398131297e-11,0.9999999980080874
750006,T,T,0.8741204190982967,0.12587958090085957,8.435755252145452e-13
750007,D,D,0.08739108609717393,0.9126089107010794,3.2017466290894132e-09
750008,P,P,1.0240181209569442e-08,8.716755379092813e-10,0.9999999888881432
750009,T,T,0.9437208293629074,0.056279168667003825,1.9700888723636325e-09
750010,D,D,1.2094746680798874e-05,0.999987905249674,3.6451069255094135e-12
750011,P,P,4.924175452970002e-07,1.1474278169233505e-08,0.9999994961081765
750012,T,T,0.9813010128606021,0.018698986973880262,1.65517631245745e-10
750013,D,D,0.04871895775491059,0.9512810422089777,3.61116585128515e-11
750014,P,P,2.133224245394427e-12,3.050923359757675e-15,0.9999999999978637
750015,T,T,0.9938969060898148,0.006102961236441472,1.326737436980099e-07
750016,D,D,0.00021390814413957605,0.9997860462499129,4.5605947669742795e-08
750017,P,P,6.086519262527611e-13,1.6031955853262426e-12,0.9999999999977882
750018,T,T,0.7574349137369656,0.24256508625958967,3.4447824106740077e-12
750019,D,D,0.02825107197564344,0.9717489146203201,1.3404036397813999e-08
750020,P,P,3.0044320433533293e-05,2.3919323155028425e-07,0.9999697164863349
750021,T,T,0.9722646334711337,0.02773536499311271,1.5357535581980347e-09
750022,D,D,0.21764813428526614,0.7823518657112154,3.518508591924684e-12
750023,P,P,1.0916582856798591e-10,1.1186519906859848e-13,0.9999999998907223
750024,T,T,0.8858908097993954,0.11410919020051893,8.565191366471635e-14
750025,D,D,0.00032814176545887733,0.9996718582344297,1.1130539860089223e-13
750026,P,P,1.04867874849072e-07,5.263131423339971e-10,0.9999998946058121
750027,T,T,0.8058310389494806,0.19416896105051853,9.121343696966992e-16
750028,D,D,4.6127595956760294e-05,0.9999538718276668,5.763763954902069e-10
750029,P,P,3.3238584561439184e-09,2.1558318774817275e-11,0.9999999966545833
750030,T,T,0.9656637668539518,0.03433622856909226,4.576955945717288e-09
750031,D,D,0.018274713064026928,0.9817252869343744,1.598763260242254e-12
750032,P,P,3.3324875872179442e-12,2.219351529220744e-14,0.9999999999966452
750033,T,T,0.6125824643139423,0.3874175355637591,1.2229870140018029e-10
750034,D,D,3.6212535593359677e-06,0.999996377953562,7.928787019000578e-10
750035,P,P,3.813881894590313e-08,2.206480316439781e-09,0.9999999596547007
750036,T,D,0.4424136164921408,0.5575863469319973,3.657586200230218e-08
750037,D,D,2.22011056635908e-07,0.9999997779823223,6.621171092807901e-12
750038,P,P,2.0937599793413594e-09,1.0015871536131449e-10,0.9999999978060814
750039,T,T,0.6569447140952309,0.3430552828657533,3.039015755058347e-09
750040,D,D,9.773112454681629e-05,0.9999022688595626,1.5890553330687996e-11
750041,P,P,3.019820048811022e-07,1.1146477388506004e-08,0.9999996868715177
750042,T,T,0.7163758285342171,0.2836241349481938,3.651758911491134e-08
750043,D,D,0.00022088862502229824,0.9997789758895296,1.354854481606258e-07
750044,P,P,1.034436965259611e-06,3.8052458163959184e-08,0.9999989275105765
750045,T,T,0.8887842464801502,0.11121575351649468,3.354965577380186e-12
750046,D,D,0.010426410033735543,0.9895735679359005,2.2030363844101994e-08
750047,P,P,0.001075584147585218,6.956300361493935e-05,0.9988548528487998
750048,T,D,0.3883844962188988,0.6116146992127013,8.045684000127835e-07
750049,D,D,1.0735625573839927e-05,0.999989264374426,2.422512918386141e-16
750050,P,P,2.4403205838299432e-11,5.013283067531e-13,0.9999999999750955
750051,T,T,0.9606207950378871,0.039379204289648057,6.724648263277219e-10
750052,D,D,8.146042794942669e-05,0.9999185394742272,9.782342593278404e-11
750053,P,P,9.123187434008048e-13,5.1918076784516605e-14,0.9999999999990358
750054,T,T,0.9331343475149204,0.06686563404310449,1.8441975166679715e-08
750055,D,D,7.91441776244607e-08,0.9999999205400967,3.157257200291236e-10
750056,P,P,9.010875573187355e-07,1.1016362546242936e-07,0.9999989887488172
750057,T,T,0.9533867964583327,0.04661320354163578,3.139829760253853e-14
750058,D,D,0.00695343804144428,0.9930463822968373,1.7966171842281205e-07
750059,P,P,3.1837850268808113e-12,2.602555926976099e-13,0.9999999999965559
750060,T,D,0.30951352199148874,0.6904858226271042,6.55381406865704e-07
750061,D,D,2.708759242724637e-06,0.9999972912400422,7.151124825371776e-13
750062,P,P,1.4501678420690872e-10,7.606497345423119e-13,0.9999999998542225
750063,T,D,0.3003262123270819,0.6996737876729138,4.2400095385644145e-15
750064,D,D,1.803117701051853e-05,0.999981913190743,5.563224653375446e-08
750065,P,P,1.4258346135831996e-06,9.00557506256018e-09,0.9999985651598113
750066,T,T,0.9094141184844757,0.09058588139456415,1.2096014223029577e-10
750067,D,D,0.002235151217407124,0.9977648484475041,3.3508864400785614e-10
750068,P,P,3.4639425043355906e-09,1.3937728671998799e-09,0.9999999951422845
750069,T,T,0.980012449808364,0.019987537865343036,1.232629298343146e-08
750070,D,D,0.00014306518516503928,0.9998569348146616,1.7340872362285054e-13
750071,P,P,0.003783486022478059,3.0451394903235912e-05,0.9961860625826188
750072,T,T,0.6341704527640797,0.36582954723578975,1.306314240464079e-13
750073,D,D,0.001474690956667056,0.9985253088533292,1.9000366383892758e-10
750074,P,P,5.147115367103522e-14,1.8925365432024775e-16,0.9999999999999483
750075,T,T,0.6228163140816164,0.37718368429129295,1.627090511559855e-09
750076,D,D,0.00010316404431447031,0.9998968315213816,4.434303890447981e-09
750077,P,P,3.110591979987244e-10,5.6131569776896615e-12,0.9999999996833278
750078,T,T,0.9901801877190444,0.009819688425702812,1.2385525279840487e-07
750079,D,T,0.7053048841147999,0.29469413933400146,9.76551198680971e-07
750080,P,P,2.3890252189381918e-08,2.3182310990914696e-09,0.9999999737915166
750081,T,T,0.8486285956449992,0.15137140229756185,2.0574390248378606e-09
750082,D,D,8.112759535427047e-06,0.9999918872404633,1.260564474414525e-15
750083,P,P,1.7533791013495873e-07,2.5686531380579852e-09,0.9999998220934366
750084,T,D,0.423333716490085,0.5766662835099092,5.690848841259468e-15
750085,D,D,5.460943766005161e-07,0.9999992434608687,2.104447547969304e-07
750086,P,P,6.989890270273863e-08,2.0319043035052776e-09,0.999999928069193
750087,T,T,0.902524459953128,0.09747548753816694,5.250870497831744e-08
750088,D,D,0.0014197632371359113,0.9985801615808767,7.518198726279565e-08
750089,P,P,1.0411173818165841e-08,1.2895916173050593e-10,0.9999999894598671
750090,T,T,0.9867019004442821,0.013298098806588488,7.491294638572728e-10
750091,D,D,8.743840914554662e-07,0.9999991220049107,3.61099786870881e-09
750092,P,P,1.9506248600503462e-12,3.351318154099087e-14,0.9999999999980159
750093,T,T,0.7742371355981023,0.22576285932692725,5.074970554621791e-09
750094,D,D,0.007890419996547606,0.9918529241150253,0.0002566558884271104
750095,P,P,4.3702220244865194e-12,1.5914178593856834e-13,0.9999999999954707
750096,T,T,0.9693377318742696,0.030662247112511785,2.1013218558283744e-08
750097,D,D,8.501501028825664e-05,0.9999142197693791,7.652203326215378e-07
750098,P,P,0.003495596385905615,3.969542422934671e-06,0.9965004340716715
750099,T,T,0.8048650312554239,0.19513496874359534,9.807881737297457e-13
750100,D,D,0.002279900453402295,0.9977200995437631,2.8346297546837138e-12
750101,P,P,5.200357290498467e-07,2.6943270291020214e-09,0.999999477269944
750102,T,T,0.9424279226467449,0.05757206151223873,1.584101626145638e-08
750103,D,D,0.0014317379150066347,0.998568258451387,3.6336063108655475e-09
750104,P,P,4.6648218579948535e-07,5.453565444499722e-09,0.9999995280642489
750105,T,T,0.9645514522395926,0.035448546522904745,1.237502601205359e-09
750106,D,D,0.00030891537952929313,0.9996910845751359,4.5334957955706804e-11
750107,P,P,9.238032287509083e-08,1.862788344338402e-09,0.9999999057568888
750108,T,T,0.586123813800635,0.4138758670104994,3.19188865541845e-07
750109,D,D,0.0009388161204533106,0.9990595694880184,1.6143915282372297e-06
750110,P,P,4.145636600226337e-11,1.885196525865614e-12,0.9999999999566584
750111,T,T,0.9777560231883999,0.022243976808869068,2.7309525212273747e-12
750112,D,D,1.9204968967856106e-06,0.9999980725683579,6.9347454260698564e-09
750113,P,P,9.780763808936541e-09,6.929386237036294e-10,0.9999999895262977
750114,T,T,0.7735852775069338,0.22641472249290334,1.6289822183878964e-13
750115,D,D,6.776355428291909e-06,0.9999932236440319,5.398105749390158e-13
750116,P,P,5.711075681900021e-09,1.0623679917829623e-10,0.9999999941826875
750117,T,T,0.7442067108835367,0.25570534773392145,8.794138254184404e-05
750118,D,D,3.742037098391839e-05,0.9999625796288857,1.3034156923682654e-13
750119,P,P,1.6863143155523098e-12,6.308564436882826e-14,0.9999999999982506
750120,T,T,0.9129004497161217,0.08709954993246999,3.514083243654949e-10
750121,D,D,0.0010193545883232472,0.9989806445532478,8.584289499622862e-10
750122,P,P,2.526858272786268e-14,2.2079067688597484e-16,0.9999999999999746
750123,T,D,0.12288043104962153,0.8771195686896937,2.606848879601469e-10
750124,D,D,4.1713298931538226e-05,0.9999582866995854,1.483088562156562e-12
750125,P,P,4.2218794408125987e-10,8.62043043170682e-12,0.9999999995691916
750126,T,T,0.7612518748504473,0.23874812397874662,1.1708060455748143e-09
750127,D,D,0.007564916707045507,0.992435083271445,2.150941826899671e-11
750128,P,P,8.531310364194377e-11,2.6301310687037696e-13,0.9999999999144239
750129,T,T,0.9772360424097718,0.02276393753682098,2.0053407198338262e-08
750130,D,D,0.00012283033758643191,0.9998771691944849,4.679286058072722e-10
750131,P,P,1.3283636673018422e-05,1.4619486947714279e-07,0.9999865701684575
750132,T,T,0.8815343275848961,0.11841379265422855,5.1879760875380804e-05
750133,D,D,0.0016401255785932548,0.9983598730871325,1.3342742314362416e-09
750134,P,P,1.2694705817415428e-06,1.1720307895239014e-08,0.9999987188091103
750135,T,T,0.8843403548912312,0.11565964493415497,1.7461383997455784e-10
750136,D,D,5.425217608857176e-05,0.9999343445629667,1.140326094471219e-05
750137,P,P,3.94401943169493e-16,4.0489060874274244e-18,0.9999999999999996
750138,T,T,0.9767592979995529,0.006546832737288858,0.016693869263158308
750139,D,D,0.0011936411764259744,0.998806358822539,1.0349187530476743e-12
750140,P,P,9.255463171175943e-11,5.83285603753655e-13,0.9999999999068621
750141,T,T,0.7539918436002905,0.24600814848635222,7.91335724862619e-09
750142,D,D,0.0012430335375444744,0.9987569652544547,1.208000866162136e-09
750143,P,P,1.0710078316077489e-10,6.167460197514999e-13,0.9999999998922826
750144,T,T,0.7447251638896196,0.25527483605647433,5.390603849945575e-11
750145,D,D,0.004157150375911026,0.9958424848644071,3.6475968185878833e-07
750146,P,P,1.2470038851322272e-07,1.350425954210598e-09,0.9999998739491854
750147,T,T,0.7108211514694547,0.28888169282345194,0.0002971557070932842
750148,D,D,0.013036170065338045,0.9869638299274676,7.194490008517525e-12
750149,P,P,1.2555147685256886e-05,2.8412084549700297e-06,0.9999846036438598
750150,T,T,0.9790420272773699,0.020604375584097424,0.0003535971385328241
750151,D,D,6.576085176129286e-06,0.9999934239147876,3.6184460868589274e-14
750152,P,P,2.251288164200538e-08,2.526923696775735e-09,0.9999999749601947
750153,T,T,0.8596306337282738,0.14036936625843713,1.3289247993962551e-11
750154,D,D,0.00026894269188487604,0.9997310573006749,7.440278426845088e-12
750155,P,P,5.884633854476168e-06,7.093736248781001e-06,0.9999870216298967
750156,T,T,0.5833633845090224,0.41663661099253363,4.498444051007026e-09
750157,D,D,3.399877171378627e-05,0.9999660010897689,1.3851740688285537e-10
750158,P,P,2.890271365830758e-06,6.63684433107188e-08,0.9999970433601909
750159,T,D,0.20601380392977944,0.7939861960702183,2.2139266851218284e-15
750160,D,D,0.00043880848732632237,0.9995611915007689,1.1904768605215807e-11
750161,P,P,3.009931696549952e-07,3.211241131597834e-10,0.9999996986857062
750162,T,T,0.7224465763453329,0.2775534236526962,1.970834233740344e-12
750163,D,D,0.20539097524847252,0.7946090245012091,2.5031839899171996e-10
750164,P,P,1.0531101014512857e-11,1.7182874725417047e-12,0.9999999999877506
750165,T,T,0.5833633869692357,0.4166366127496116,2.8115275437364206e-10
750166,D,D,2.1927189718244822e-05,0.9999780646794589,8.130822808093559e-09
750167,P,P,2.219384805876128e-11,7.738648948705525e-14,0.9999999999777288
750168,T,D,0.49478730730850096,0.5052126926840433,7.455685714410265e-12
