bank_seed,maintenance_seed,stratum,q0_P,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,A_root_revision_abs,B_root_revision_abs,A_transfer_abs,B_transfer_abs,root_revision_difference,transfer_difference,B_delivered,B_censored,B_avoidance,dose_M_PT,dose_M_PD,external_danger_selected,identity_danger_selected,external_danger_delta_L_PD
760002,762000,moderate,0.7471106932193267,-37.237836801013316,-35.86727493386665,-30.864177686647636,-30.574022224044146,6.37365911436568,5.293252709822507,0.5,0.5,0.439579308864563,0.439579308864563,0.0,0.0,26,6,10,"[0.0, 13.879925695249916, 20.902582447828202, 30.59677330846703, 37.237836801013316]","[0.0, 13.781507407287847, 20.60207888007301, 29.219312704552557, 35.86727493386665]",D,P,-27.586226590994592
760112,762001,moderate,0.6069128444093572,-35.02343950819491,-29.930609125487074,-27.55581825395193,-24.572866852157468,7.467621254242982,5.357742273329606,0.7533499402936719,0.7533453598600349,0.20499318103229164,0.2049919346557918,4.580433636935943e-06,1.246376499841606e-06,24,8,11,"[0.0, 13.230928057037321, 23.243340936075448, 29.133390222135183, 35.02343950819491]","[0.0, 12.254188644325179, 22.679470155202424, 26.30503964034475, 29.930609125487074]",D,P,-29.017238414981282
760138,762002,moderate,0.7171742358882623,-38.00102332107732,-36.212493420808784,-26.24565066394929,-24.19540358346178,11.755372657128028,12.017089837347005,0.4999999935146887,0.4999986973590796,0.1431767319236688,0.14317636076501572,1.2961556091206639e-06,3.71158653089676e-07,23,9,14,"[0.0, 9.147209790700181, 16.716847613217116, 28.917184772009833, 38.00102332107732]","[0.0, 8.584989042725994, 15.43780529726471, 25.992065935156162, 36.212493420808784]",D,P,-34.11423007168571
760154,762003,moderate,0.6467356543173086,-31.81747793160972,-26.01292538220641,-19.935362791216303,-17.26671243071265,11.882115140393417,8.74621295149376,0.5,0.49999999999992173,0.33038348082595836,0.33038348082590663,7.827072323607354e-14,5.1736392947532295e-14,19,13,17,"[0.0, 8.384023270636185, 16.882235423123767, 23.802875607428096, 31.81747793160972]","[0.0, 8.239770555783863, 15.297440835547198, 20.62293832712325, 26.01292538220641]",D,P,-20.744385094473788
760160,762004,moderate,0.6100084766758194,-40.32960949574712,-40.967058953167836,-25.800686162284595,-25.658232782917334,14.528923333462526,15.308826170250502,0.4999999825679096,0.49999190191973225,0.13605441702528148,0.1360522182094509,8.080648177366534e-06,2.198815830578571e-06,21,11,17,"[0.0, 8.702245289035488, 18.66384052785492, 28.1926435785871, 40.32960949574712]","[0.0, 10.047818242181553, 20.019761586152693, 28.77735987234976, 40.967058953167836]",D,P,-33.45889629973178
760188,762005,moderate,0.7439361484865382,-37.123647919161925,-37.049375209887174,-22.912946604098707,-23.548596726034365,14.210701315063218,13.500778483852809,0.4959440536066897,0.4959440536066897,0.4504733046320507,0.4504733046320507,0.0,0.0,19,13,16,"[0.0, 7.290061130758886, 15.572067833121114, 22.9763178457314, 37.123647919161925]","[0.0, 8.175280992276754, 14.919977566851507, 21.913158283107737, 37.049375209887174]",D,P,-24.964832005585848
760195,762006,moderate,0.6114392890611354,-35.93984152458812,-32.812637407941324,-27.72120606385858,-24.432502390439954,8.218635460729537,8.38013501750137,0.5476790569546242,0.5476790569546242,0.4913915484887701,0.4913915484887701,0.0,0.0,25,7,12,"[0.0, 10.343188498851429, 15.139275645033866, 24.833466505672696, 35.93984152458812]","[0.0, 10.144552587442206, 13.705632509077425, 22.322866333556977, 32.812637407941324]",D,P,-30.439873151177697
760218,762007,moderate,0.6669365255162439,-41.741793654023716,-42.83959620307264,-23.129152054224054,-23.86157043122295,18.612641599799662,18.978025771849687,0.576725757004105,0.5767257570035829,0.3810813261620041,0.38108132616165913,5.221378884812111e-13,3.4494629375103614e-13,18,14,18,"[0.0, 13.116739175185927, 28.027255768680448, 35.91511560959668, 41.741793654023716]","[0.0, 13.436288920345707, 28.91772433406728, 37.57858827500369, 42.83959620307264]",D,P,-20.685638884529258
760232,762008,moderate,0.6164326568952979,-36.856243540981325,-35.69466569039558,-26.4496838004972,-27.185551545879996,10.406559740484123,8.509114144515586,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,21,11,14,"[0.0, 2.1245530381218956, 10.992186137064031, 24.93548307394665, 36.856243540981325]","[0.0, 1.7644175699408322, 11.67187135040487, 23.81794031476609, 35.69466569039558]",D,P,-21.73023311900905
760257,762009,moderate,0.7140868429843098,-30.40529377333312,-24.140388132301613,-23.968263417334743,-20.482573865405737,6.4370303559983775,3.657814266895876,0.634685190693322,0.634685190693322,0.5344717395312184,0.5344717395312184,0.0,0.0,24,8,13,"[0.0, 7.569637822516935, 12.531112778606019, 21.741693810938894, 30.40529377333312]","[0.0, 6.852816254538716, 10.273531714456421, 17.223082314255795, 24.140388132301613]",D,P,-29.532529370518183
760264,762010,moderate,0.7101196745916916,-38.42164319558713,-40.104012735812496,-25.139516210494556,-26.808088277184307,13.282126985092575,13.295924458628189,0.7533499935369898,0.7533499935369898,0.5687150672048571,0.5687150672048571,0.0,0.0,20,12,15,"[0.0, 9.898223997186733, 23.778149692436656, 30.96619425492159, 38.42164319558713]","[0.0, 11.607381786897765, 25.38888919418561, 32.06909620525326, 40.104012735812496]",D,P,-18.487206634219778
760266,762011,moderate,0.7299399123975274,-33.49706646806692,-29.2401721516028,-15.584240146698559,-12.242803309621873,17.91282632136836,16.997368841980926,0.5671623184376432,0.47382725778456186,0.04377519100338756,0.03657132718067024,0.09333506065308134,0.007203863822717316,16,16,17,"[0.0, 8.98182198079353, 18.192403013126405, 25.113043197430734, 33.49706646806692]","[0.0, 8.725353504443515, 15.674904104242884, 21.00040159581894, 29.2401721516028]",D,P,-17.45103999795246
760298,762012,moderate,0.7169212355439819,-34.79506174449212,-32.29480967752812,-20.749748239335553,-18.653666731957795,14.045313505156571,13.641142945570326,0.5767257481676447,0.5767153625961172,0.16514741781981723,0.16514444387539767,1.0385571527438131e-05,2.973944419559782e-06,20,12,18,"[0.0, 5.928694612700994, 13.498332435217925, 21.398745877548155, 34.79506174449212]","[0.0, 6.756081909278059, 13.608898163816775, 20.180985494920456, 32.29480967752812]",D,P,-26.802010465839853
760336,762013,moderate,0.6069128444093571,-36.207245902768726,-34.16734692743292,-22.059915829338195,-19.031130000653484,14.147330073430531,15.136216926779433,0.7533499402936719,0.7533252597560555,0.20499318103229164,0.2049864652397429,2.4680537616394993e-05,6.71579254873933e-06,21,11,16,"[0.0, 11.653356088854078, 21.449563517766858, 25.317076333978648, 36.207245902768726]","[0.0, 10.522015856137898, 20.634323661826556, 23.990549558237156, 34.16734692743292]",D,P,-36.65154467519599
760385,762014,moderate,0.7475771867751676,-37.23783680101332,-35.867274933866646,-20.686376997702858,-20.28910517488442,16.551459803310465,15.578169758982227,0.9857188096002949,0.9857184435510958,0.4779242713213545,0.477924093842955,3.6604919906313427e-07,1.7747839953230482e-07,18,14,20,"[0.0, 13.332944625311278, 24.0577263841947, 29.50281116858974, 37.23783680101332]","[0.0, 13.749262625534286, 24.066424456447567, 29.154823141045448, 35.867274933866646]",D,P,-20.54838843070898
760480,762015,moderate,0.7218733201362265,-38.65002095928992,-37.73981218377145,-26.996664870435847,-27.217796327633547,11.653356088854071,10.522015856137902,0.5,0.5,0.37745740498034064,0.37745740498034064,0.0,0.0,22,10,12,"[0.0, 13.498332435217925, 21.067970257734856, 27.92523920040649, 38.65002095928992]","[0.0, 13.608898163816775, 20.46171441835549, 27.42265035285817, 37.73981218377145]",D,P,-18.38912331608612
760490,762016,moderate,0.6755376416807471,-39.83382735386373,-41.97654998571729,-26.717088178677802,-28.54026106537159,13.11673917518593,13.436288920345703,0.5,0.4999999999999967,0.33038348082595836,0.3303834808259562,3.2751579226442118e-15,2.1649348980190553e-15,21,11,14,"[0.0, 7.671654390790891, 21.818984464221415, 30.419213184982947, 39.83382735386373]","[0.0, 8.347890235747819, 23.484107162527255, 32.0368514234997, 41.97654998571729]",D,P,-31.845840637793273
760537,762017,moderate,0.6906833159844378,-37.88683443922592,-37.394593696829304,-28.472220270345137,-27.45489513461172,9.414614168880785,9.939698562217583,0.49999999999999817,0.4999999999907517,0.24242424242424115,0.24242424241975802,9.246492460590616e-12,4.483136084587613e-12,24,8,13,"[0.0, 9.796207428912783, 18.561823959580963, 29.28660571846439, 37.88683443922592]","[0.0, 10.112307805688651, 18.52468760494358, 28.841849435856858, 37.394593696829304]",D,P,-45.04467379101851
760546,762018,moderate,0.6214056797616582,-34.14606410627952,-30.767490914565464,-23.31926577912214,-18.955255102443076,10.826798327157377,11.812235812122388,0.5767257570041049,0.5767257570041049,0.3810813261620041,0.3810813261620041,0.0,0.0,24,8,11,"[0.0, 6.539046924272331, 14.108684746789262, 27.123407353701232, 34.14606410627952]","[0.0, 5.152888248104986, 12.005704502643702, 23.9469194417803, 30.767490914565464]",D,P,-32.01667350210665
