seed,stratum,intact_M_PT,intact_M_PD,action_mask_M_PT,action_mask_M_PD,forced_open_M_PT,forced_open_M_PD,substitution_M_PT,substitution_M_PD,common_A_delta_L_PT,common_A_delta_L_PD,common_M_PT,common_M_PD,fixed_root_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,broadcast_M_PT,broadcast_M_PD,equalized_A_delta_L_PT,equalized_A_delta_L_PD,equalized_M_PT,equalized_M_PD
762000,moderate,6.37365911436568,5.293252709822507,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,6.37365911436568,5.293252709822507,6.156394430700992,5.751280176819822,2.220446049250313e-16,0.0,0.0,0.0
762001,moderate,7.467621254242982,5.357742273329606,0.0,0.0,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,7.467621254242982,5.357742273329606,8.208525907601334,7.668373569093102,-3.3306690738754696e-16,0.0,0.0,0.0
762002,moderate,11.755372657128028,12.017089837347005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.755372657128028,12.017089837347005,8.852998386019493,8.45431102175867,0.0,0.0,0.0,0.0
762003,moderate,11.882115140393417,8.74621295149376,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,0.0,0.0,11.882115140393417,8.74621295149376,12.957261339820157,12.288497806305216,-2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0
762004,moderate,14.528923333462526,15.308826170250502,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,14.528923333462526,15.308826170250502,10.523536602887827,10.198795170560874,2.220446049250313e-16,0.0,0.0,0.0
762005,moderate,14.210701315063218,13.500778483852809,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,14.210701315063218,13.500778483852809,12.19407481975616,11.943279319363082,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0
762006,moderate,8.218635460729537,8.38013501750137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.218635460729537,8.38013501750137,6.41927364908716,6.364608386014325,0.0,0.0,0.0,0.0
762007,moderate,18.612641599799662,18.978025771849687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,18.612641599799662,18.978025771849687,13.983327078270321,13.247044502441856,0.0,-2.220446049250313e-16,0.0,0.0
762008,moderate,10.406559740484123,8.509114144515586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.406559740484123,8.509114144515586,10.523536602887827,10.19879517056087,0.0,0.0,0.0,0.0
762009,moderate,6.4370303559983775,3.657814266895876,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,6.4370303559983775,3.657814266895876,8.208525907601324,7.668373569093099,2.220446049250313e-16,0.0,0.0,0.0
762010,moderate,13.282126985092575,13.295924458628189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.282126985092575,13.295924458628189,10.786415821273998,10.812123379755374,0.0,0.0,0.0,0.0
762011,moderate,17.91282632136836,16.997368841980926,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,17.91282632136836,16.997368841980926,15.27227203510666,14.818919407772988,2.220446049250313e-16,0.0,0.0,0.0
762012,moderate,14.045313505156571,13.641142945570326,0.0,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,14.045313505156571,13.641142945570326,11.549602341337991,11.15734186669751,-2.220446049250313e-16,8.881784197001252e-16,0.0,0.0
762013,moderate,14.147330073430531,15.136216926779433,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-16,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,14.147330073430531,15.136216926779433,10.141943342855829,10.026185927089802,-5.551115123125783e-16,-4.440892098500626e-16,2.220446049250313e-16,0.0
762014,moderate,16.551459803310465,15.578169758982227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,16.551459803310465,15.578169758982227,13.983327078270321,13.247044502441856,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0
