seed,acute_final,gradual_final,overwhelm_control_final,low_control_final,high_control_final,adaptive_threat_final,closed_loop_final,exact_replay_final,closed_loop_avoidance_rate,exact_replay_avoidance_rate,closed_loop_adverse_transition_rate,exact_replay_adverse_transition_rate,closed_loop_adverse_outcome_rate,exact_replay_adverse_outcome_rate,closed_loop_root,exact_replay_root,closed_loop_mediator,exact_replay_mediator
62000,0.9786600414615267,0.6016623659297782,0.033147209336254216,0.854144546351317,0.4456897078276618,0.9997569671630016,0.246469097379472,0.13561475337724263,0.5,0.0,0.5,0.25,0.4375,0.4375,0.28670473329902657,0.21929411884866723,0.125,-0.0
62001,0.9943558083691142,0.969789956350032,0.22779098614995325,0.6368359002405075,0.2669763463718401,0.9994202307579646,0.5217310254061209,0.5812346622074395,0.25,0.0,0.25,0.1875,0.3125,0.25,0.023629855504683887,0.045665953411914796,0.08333333333333334,-0.0
62002,0.1254632804278703,0.9942429285971439,0.10875372304504624,0.5633331923071108,0.2782904185274602,0.9997086273901241,0.47919271421105725,0.23151466031195053,0.6875,0.0,0.6875,0.25,0.6875,0.25,0.8222433974067758,0.08095877177919415,0.08750000000000002,-0.0
62003,0.4084078598529606,0.9998314677548222,0.5261942485172408,0.6410820271261335,0.18451145630873417,0.9999782648061937,0.985655421489886,0.3921470509955726,0.8125,0.0,0.625,0.0625,0.5625,0.125,0.9983389847932498,0.05891577292685243,0.625,-0.0
62004,0.8583300413440336,0.989099090987,0.17095349197949508,0.33973128775913053,0.3990464450842021,0.9998799046833959,0.2805801221846659,0.15329956909698422,0.5,0.0,0.5,0.125,0.5,0.25,0.1954330754130468,0.1663102583384205,0.125,-0.0
62005,0.7752421674242795,0.7777793964351005,0.9394815190800881,0.45918828144387003,0.3430952244770332,0.9998924366467412,0.3128552356046782,0.6976478603173895,0.125,0.0,0.25,0.1875,0.375,0.3125,0.0640921648316662,0.10600209717570158,0.03571428571428571,-0.0
62006,0.9977377413642865,0.7902383907628163,0.11572668844436107,0.3826336011393083,0.1692903843354572,0.9989361772102502,0.5662534176845605,0.36363646929965665,0.375,0.0,0.3125,0.125,0.375,0.3125,0.09279494426919507,0.26439832833908367,0.11249999999999999,-0.0
62007,0.9994954294926023,0.631842951112683,0.032408855322826155,0.373744699199943,0.24722317118606382,0.9999934605455474,0.6127135813299173,0.5746485976663257,0.375,0.0,0.4375,0.3125,0.4375,0.3125,0.04813417455057954,0.09190299180362851,0.13749999999999998,-0.0
62008,0.9973621923331972,0.9886557946686103,0.17871121725288985,0.2711798213238402,0.3412735646971494,0.9933093484281913,0.05535880735189693,0.40030932063948027,0.0625,0.0,0.0,0.0,0.0,0.0,0.03804370317671583,0.017639755207018586,0.0,0.0
62009,0.11474532755871114,0.9997896856991799,0.053503902882442896,0.5491827818223354,0.45284554022128665,0.9953058293892099,0.41586555377976375,0.5771971500278927,0.4375,0.0,0.25,0.0625,0.4375,0.25,0.572922365487675,0.12770107244197668,0.25,-0.0
62010,0.9795994955903135,0.9760504636514158,0.23746229382739262,0.4448321595747605,0.3044382690378832,0.9958403048496418,0.27113551206467623,0.14011000967986173,0.625,0.0,0.4375,0.0,0.375,0.0625,0.37748145425079893,0.07294111264472684,0.4375,0.0
