seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
777000,global_downweight,global_downweight,0.7506259261972776,"[0.7506259261972776, 0.008936182827159966, 7.111765162903376e-09, 0.24043788386379727, 4.187679986039925e-21]",1.0880185641326534e-14,2.842170943040401e-14
777001,global_downweight,global_downweight,0.8650481126097715,"[0.8650481126097715, 0.12321387473658967, 4.079426637532476e-12, 0.011738012649559496, 1.8141778055165832e-20]",1.4654943925052066e-14,1.1368683772161603e-13
777002,global_downweight,global_downweight,0.9158554108012755,"[0.9158554108012755, 0.059627309584458894, 1.8429467857196455e-07, 0.024517095319587075, 7.263007409949743e-22]",1.2434497875801753e-14,1.1368683772161603e-13
777003,global_downweight,cue_local_relearning,0.32414598458093485,"[0.32414598458093485, 0.45219863808442445, 9.684293296702083e-06, 0.22364569304134388, 3.084319743657874e-24]",1.176836406102666e-14,5.684341886080802e-14
777004,global_downweight,global_downweight,0.5546958474116142,"[0.5546958474116142, 0.36140803199651306, 4.381724078335174e-07, 0.08389568241946503, 9.354055433533962e-21]",1.021405182655144e-14,5.684341886080802e-14
777005,global_downweight,global_downweight,0.8830979996582369,"[0.8830979996582369, 0.007921162208868267, 3.173460687514838e-14, 0.10898083813286302, 3.591551424915274e-31]",1.9095836023552692e-14,5.684341886080802e-14
777006,global_downweight,global_downweight,0.5944951456702938,"[0.5944951456702938, 0.06955415885390541, 7.618172242640939e-06, 0.33594307730355816, 4.676069098151836e-18]",1.2434497875801753e-14,8.526512829121202e-14
777007,global_downweight,global_downweight,0.7786047675704593,"[0.7786047675704593, 0.0029297914864877678, 3.600745704211245e-11, 0.2184654409070455, 1.5018391672215749e-30]",1.865174681370263e-14,2.842170943040401e-14
777008,global_downweight,global_downweight,0.9383126672769972,"[0.9383126672769972, 0.037440188990605486, 9.503597391509379e-08, 0.024247048696423166, 1.0440050795771842e-17]",7.549516567451064e-15,5.684341886080802e-14
777009,global_downweight,global_downweight,0.8260808913329967,"[0.8260808913329967, 0.0033992408944220347, 3.2050119521810604e-15, 0.17051986777257833, 2.6078446465753134e-28]",1.554312234475219e-14,5.684341886080802e-14
777010,global_downweight,global_downweight,0.956935802898068,"[0.956935802898068, 0.01793104512319038, 1.3127902654578786e-09, 0.025133150665951384, 7.462121128367191e-17]",1.3100631690576847e-14,8.526512829121202e-14
777011,global_downweight,global_downweight,0.8356639137450264,"[0.8356639137450264, 0.1601243520424522, 7.825703287546278e-15, 0.004211734212513603, 4.650361566780994e-30]",1.4654943925052066e-14,8.526512829121202e-14
777012,global_downweight,global_downweight,0.5472791835063331,"[0.5472791835063331, 0.1734435021706009, 5.276875547261226e-08, 0.27927726155431015, 3.6878047538657573e-16]",9.325873406851315e-15,1.4210854715202004e-13
777013,global_downweight,global_downweight,0.831076266582815,"[0.831076266582815, 0.10934043366886187, 8.675388270833162e-07, 0.059582432209496126, 3.2468753139883325e-22]",1.0658141036401503e-14,5.684341886080802e-14
777014,global_downweight,global_downweight,0.9198813704772819,"[0.9198813704772819, 0.011537262841928174, 8.396460831931805e-05, 0.06849740207247076, 2.1379281886396194e-18]",8.881784197001252e-15,5.684341886080802e-14
777015,global_downweight,global_downweight,0.8628825866142099,"[0.8628825866142099, 0.12691499804334846, 5.2454792936847755e-06, 0.010197169863147962, 1.831606750611169e-18]",7.993605777301127e-15,1.1368683772161603e-13
777016,global_downweight,cue_local_relearning,0.2778462656712415,"[0.2778462656712415, 0.7107914677544946, 3.900195513315251e-09, 0.0113622626740683, 1.0688920068714457e-25]",9.769962616701378e-15,1.4210854715202004e-13
777017,global_downweight,cue_local_relearning,0.3104576637317071,"[0.3104576637317071, 0.5921224804589774, 1.2294583669662484e-12, 0.09741985580808617, 1.3315443347675621e-24]",1.0658141036401503e-14,5.684341886080802e-14
777018,global_downweight,global_downweight,0.6304509624590569,"[0.6304509624590569, 0.08890834393189104, 2.2725612870079984e-10, 0.2806406933817959, 5.83489601753804e-18]",8.43769498715119e-15,2.842170943040401e-14
777019,global_downweight,global_downweight,0.6529198301476526,"[0.6529198301476526, 0.336559165588158, 2.2331487046270495e-07, 0.010520780949318829, 1.3406102271087008e-18]",1.199040866595169e-14,1.1368683772161603e-13
777020,global_downweight,global_downweight,0.774051979719194,"[0.774051979719194, 0.006108616157306119, 1.1299991760893536e-05, 0.2198281041307485, 9.90573804381489e-13]",6.661338147750939e-15,8.526512829121202e-14
777021,global_downweight,global_downweight,0.8806285824728597,"[0.8806285824728597, 0.01587476862726871, 2.4592920195572016e-11, 0.10349664887527858, 2.8156247168091733e-18]",1.3322676295501878e-14,5.684341886080802e-14
