seed,bank_seed,stratum,initial_state_hash,clone_identity,selected,heldout,transfer,historical_retention,shuffled_selected,single_regime_selected,initial_q_P
779000,820001,strong,cdfb4930901fd6a98b60bc9d34265ddcc57f2ac534cfe6f60d4099917434b713,True,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.314877258557031, -2.2924075290908545, -2.281450441729098, -2.4282100732464436, -3.6676185767232345], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3113244901746098, 0.409718071046493, 0.2612394793451765, 0.4007806242302268, 0.0736053223227694]}",0.23616310904674065,0.0,context_split,context_split,0.8887940021347144
779001,820002,strong,785004d2e538a70ff6f88e90c2d090ee5e493cb732a45995dea0666a989140a1,True,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.497430606488618, -2.5256248292905497, -2.724213058853824, -2.569345787220115, -3.32967302421378], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.24655740785368754, 0.33493910248762154, 0.1929890980666034, 0.31721376663498774, 0.1192037412521904]}",-0.48996170503255226,0.0,change_point,global_downweight,0.8628422075865141
779002,820008,strong,6446dec70d6265b9eb07650d169893861f688a9b16d6d2e31ff4309565ec0ebe,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.2140241573193986, ""heldout_log_per_observation"": [-2.508933302500476, -2.638748148493624, -2.7229574598198747, -2.5227151962289582, -3.0697454595162803], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.418843417113918, 0.5011631762067382, 0.43950690992547986, 0.5045735774219445, 0.25630207246792275]}",0.09396190722400388,0.0,continuous_drift,continuous_drift,0.8806262507092794
779003,820030,strong,46fd0d2269b38f03b36325648a27712ab5a41b9cd269e15866dd94db468e82fc,True,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.400886360529914, -2.3317724789848606, -2.092131648942509, -2.364155524585324, -3.0474859282049485], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2807174842121594, 0.37338288493132615, 0.1862885882406616, 0.3766193845698486, 0.13217294644985417]}",0.4479780959267087,0.0,context_split,global_downweight,0.8757183077159478
779004,820032,very_strong,8c3caacc795ae6dd6a782136374302a8bf355913ac783c3b061d7ca8e9f9dfbe,True,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.16222704737251892, ""heldout_log_per_observation"": [-2.0219253611070993, -1.8859855039342275, -1.8596983137345804, -2.0533327184630945, -1.7389347185593875], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.292865325929841, 0.3867835897366107, 0.2670998546404077, 0.3933190286424794, 0.19129461561255637]}",-0.286990473728377,0.0,context_split,global_downweight,0.94837591222579
779005,820033,very_strong,5c667e55a15b4bbb3894f58326d02ae9292cb6f750774edecfd1fe601246741d,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.22680803929751825, ""heldout_log_per_observation"": [-2.2777513718656612, -2.194525239239921, -2.050943332568143, -2.2399165883750634, -2.154654930872635], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3941926935645841, 0.4913581423716824, 0.4278140780056159, 0.5091566129522082, 0.19184016974688975]}",-0.9486617114951496,0.0,cue_local_relearning,context_split,0.9188974824066823
779006,820041,strong,b152390300eec85783c350526a9d8e44009f4eb7aa1acb12e40f425ba10072b1,True,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.4795979886815775, -2.5457093857665587, -2.83190693478167, -2.491364089122645, -2.7611474567748076], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3164561415165006, 0.42382319090687987, 0.37284003712877317, 0.42303223632294706, 0.06918714316258125]}",0.3515811698590585,0.0,context_split,global_downweight,0.8537184568760733
779007,820050,moderate,c32c12b4d530bf79bebb7f69aa854866d3637eb28610fe4f14585cacbc751ceb,True,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.026128187459060648, ""heldout_log_per_observation"": [-2.438578928485012, -2.3609319830733178, -2.4124507410259515, -2.4187010654452132, -3.1503163370056004], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.36111390750756306, 0.46171907692748504, 0.34286341610896615, 0.46467762966584125, 0.3085716418828664]}",-0.42477876106192314,0.0,context_split,global_downweight,0.6229079404765608
779008,820056,very_strong,fbe8a904f4e8340470e02d36e8f82780403436c7d3a7b1e14b7e2c3beaa30ccc,True,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.4705559537623376, -2.5484060566358915, -2.37179296994635, -2.512796102964823, -2.6147797707786253], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3222715813368708, 0.41127310135895595, 0.25728205372126317, 0.4134072402340627, 0.2022250723482096]}",-0.8803969265042958,0.0,change_point,global_downweight,0.9771811749311494
779009,820059,moderate,2aea0989626206cd4157385a506ac417827da012d59b5c84078e6a79a706d89a,True,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.48939920664367786, ""heldout_log_per_observation"": [-2.5489956329191283, -2.3171787125915726, -2.0595964262754505, -2.1246166581061647, -1.9620867754439741], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.33766176814068194, 0.43608081145447386, 0.29242554341495186, 0.4215434699409136, 0.06906716982963788]}",-0.3394100099436519,0.0,context_split,change_point,0.6794592846847677
