seed,selected,posterior_entropy,maximum_update_identity_error,maximum_decomposition_error
778400,cue_local_relearning,0.8981027669341636,4.440892098500626e-15,1.4210854715202004e-14
778401,continuous_drift,1.0540650748254934,1.887379141862766e-15,7.105427357601002e-15
778402,context_split,0.6367045583340112,1.3322676295501878e-15,1.4210854715202004e-14
778403,global_downweight,0.934351861257922,2.6645352591003757e-15,1.4210854715202004e-14
778404,continuous_drift,0.8483444409324545,1.7763568394002505e-15,2.842170943040401e-14
778405,global_downweight,1.1657550706929716,1.3322676295501878e-15,2.842170943040401e-14
778406,cue_local_relearning,1.0709625974167132,1.7763568394002505e-15,2.842170943040401e-14
778407,context_split,0.5219454201250769,1.7763568394002505e-15,1.4210854715202004e-14
778408,global_downweight,0.7321717603515961,2.220446049250313e-15,1.4210854715202004e-14
778409,continuous_drift,1.3067400230282722,2.6645352591003757e-15,1.4210854715202004e-14
778410,cue_local_relearning,0.4730668555555054,3.9968028886505635e-15,2.842170943040401e-14
778411,global_downweight,0.8404214255310302,3.1086244689504383e-15,1.4210854715202004e-14
778412,continuous_drift,0.9592257272326673,3.552713678800501e-15,1.4210854715202004e-14
778413,continuous_drift,0.6604313747376216,2.4424906541753444e-15,1.4210854715202004e-14
778414,change_point,0.26702969551787414,3.552713678800501e-15,1.4210854715202004e-14
778415,global_downweight,1.0291154737125063,1.7763568394002505e-15,1.4210854715202004e-14
778416,global_downweight,1.0615008589577493,2.6645352591003757e-15,1.4210854715202004e-14
778417,continuous_drift,1.084594373551432,2.4424906541753444e-15,2.842170943040401e-14
778418,cue_local_relearning,0.942703941096415,3.552713678800501e-15,1.4210854715202004e-14
778419,change_point,0.5873655752832599,1.1657341758564144e-15,7.105427357601002e-15
778420,context_split,0.03886749317322771,2.6645352591003757e-15,2.842170943040401e-14
778421,continuous_drift,1.1517165618856628,2.7755575615628914e-15,1.4210854715202004e-14
778422,context_split,0.21654125394962986,2.220446049250313e-15,1.4210854715202004e-14
778423,continuous_drift,0.745785056875896,2.220446049250313e-15,1.4210854715202004e-14
778424,context_split,1.0580734004342842,1.7763568394002505e-15,1.4210854715202004e-14
778425,context_split,0.24118587104793396,4.440892098500626e-15,1.4210854715202004e-14
778426,cue_local_relearning,0.7447495036901051,3.1086244689504383e-15,1.4210854715202004e-14
778427,context_split,1.0785408103656393,1.3322676295501878e-15,1.4210854715202004e-14
778428,global_downweight,0.8438417877433739,3.9968028886505635e-15,2.842170943040401e-14
778429,continuous_drift,0.13389886796621814,6.439293542825908e-15,2.842170943040401e-14
778430,continuous_drift,0.4743010208766725,2.6645352591003757e-15,1.4210854715202004e-14
778431,cue_local_relearning,1.011303209007703,2.4424906541753444e-15,7.105427357601002e-15
778432,context_split,0.2493849497553865,1.3322676295501878e-15,1.4210854715202004e-14
778433,global_downweight,1.1363136840330212,2.220446049250313e-15,1.4210854715202004e-14
778434,change_point,0.266159059853396,1.3322676295501878e-15,1.4210854715202004e-14
778435,global_downweight,0.9206370488447935,3.9968028886505635e-15,2.842170943040401e-14
778436,global_downweight,0.9848730114714345,1.7763568394002505e-15,1.4210854715202004e-14
778437,continuous_drift,0.5583691828042032,2.6645352591003757e-15,2.1316282072803006e-14
778438,change_point,0.9044258603874852,2.220446049250313e-15,1.4210854715202004e-14
778439,change_point,0.40296611451818615,1.5543122344752192e-15,1.4210854715202004e-14
778440,global_downweight,1.1188675415122766,2.220446049250313e-15,1.4210854715202004e-14
778441,continuous_drift,0.7069314979143284,3.552713678800501e-15,1.4210854715202004e-14
778442,context_split,0.038949295236057314,3.1086244689504383e-15,1.4210854715202004e-14
778443,cue_local_relearning,0.9927777419001776,2.4424906541753444e-15,1.4210854715202004e-14
778444,change_point,0.37152946930922054,1.7763568394002505e-15,1.4210854715202004e-14
778445,continuous_drift,1.2583801820798515,2.886579864025407e-15,1.4210854715202004e-14
778446,global_downweight,0.9256321595982588,3.1086244689504383e-15,1.4210854715202004e-14
778447,context_split,0.7568242954312613,1.7763568394002505e-15,1.4210854715202004e-14
778448,continuous_drift,0.4187499025780364,2.6645352591003757e-15,1.4210854715202004e-14
778449,change_point,0.8906462450593859,1.1102230246251565e-15,1.4210854715202004e-14
778450,global_downweight,1.0819913492701312,2.220446049250313e-15,1.4210854715202004e-14
778451,global_downweight,0.7916686701842206,5.773159728050814e-15,1.4210854715202004e-14
778452,change_point,0.7518939334044615,1.1102230246251565e-15,1.4210854715202004e-14
778453,continuous_drift,1.1659714627812399,1.7763568394002505e-15,2.842170943040401e-14
778454,change_point,0.6196177537729093,1.7763568394002505e-15,1.4210854715202004e-14
778455,cue_local_relearning,1.002491328081658,7.216449660063518e-15,1.4210854715202004e-14
778456,cue_local_relearning,0.992944670675976,5.773159728050814e-15,2.842170943040401e-14
778457,cue_local_relearning,1.1541547369258034,1.3322676295501878e-15,1.4210854715202004e-14
778458,continuous_drift,0.8543188772441198,4.440892098500626e-15,2.842170943040401e-14
778459,change_point,0.5766112418905793,2.220446049250313e-15,1.4210854715202004e-14
778460,cue_local_relearning,0.7240967213376553,2.220446049250313e-15,2.842170943040401e-14
778461,context_split,1.2999076988494855,4.884981308350689e-15,1.4210854715202004e-14
778462,context_split,0.040197116132305734,6.217248937900877e-15,1.4210854715202004e-14
778463,cue_local_relearning,0.8547245153731532,3.1086244689504383e-15,1.4210854715202004e-14
778464,change_point,0.42957775915396357,1.9984014443252818e-15,1.4210854715202004e-14
778465,continuous_drift,0.8765943613112421,2.6645352591003757e-15,7.105427357601002e-15
778466,cue_local_relearning,0.9588877316582081,5.329070518200751e-15,1.4210854715202004e-14
778467,context_split,0.5966379493857863,1.3322676295501878e-15,7.105427357601002e-15
778468,context_split,0.6887380525119888,2.220446049250313e-15,2.842170943040401e-14
778469,context_split,0.4659157745866637,1.1102230246251565e-15,7.105427357601002e-15
778470,global_downweight,0.763006839572594,7.993605777301127e-15,1.4210854715202004e-14
778471,cue_local_relearning,0.9775454406811309,2.6645352591003757e-15,1.4210854715202004e-14
778472,context_split,0.07586478557641195,3.1086244689504383e-15,1.4210854715202004e-14
778473,continuous_drift,1.1448578312787525,3.1086244689504383e-15,7.105427357601002e-15
778474,change_point,0.20403479845914776,3.552713678800501e-15,7.105427357601002e-15
778475,global_downweight,0.8757103501995636,2.6645352591003757e-15,1.4210854715202004e-14
778476,continuous_drift,0.673085597302611,1.3322676295501878e-15,2.842170943040401e-14
778477,context_split,0.6272006651570904,1.7763568394002505e-15,1.4210854715202004e-14
778478,continuous_drift,0.25921155641608673,2.220446049250313e-15,1.4210854715202004e-14
778479,change_point,0.39029336343192605,1.7763568394002505e-15,1.4210854715202004e-14
778480,global_downweight,0.7587675611437538,6.217248937900877e-15,2.842170943040401e-14
778481,context_split,0.916676918614812,1.7763568394002505e-15,1.4210854715202004e-14
778482,context_split,0.03557712167618811,2.6645352591003757e-15,1.4210854715202004e-14
778483,continuous_drift,0.048323531611363026,5.773159728050814e-15,1.4210854715202004e-14
778484,cue_local_relearning,0.9079637022826093,3.9968028886505635e-15,2.842170943040401e-14
778485,context_split,1.4694923586380013,1.1102230246251565e-15,7.105427357601002e-15
778486,cue_local_relearning,0.740157038726839,5.10702591327572e-15,1.4210854715202004e-14
778487,context_split,0.07535483530551021,1.7763568394002505e-15,7.105427357601002e-15
778488,global_downweight,0.8227717738397766,3.774758283725532e-15,2.842170943040401e-14
778489,context_split,0.8024656308503993,3.1086244689504383e-15,7.105427357601002e-15
778490,global_downweight,0.7798746629976474,7.993605777301127e-15,2.842170943040401e-14
778491,context_split,1.1827257401516866,1.887379141862766e-15,1.4210854715202004e-14
778492,context_split,0.7744459769105624,2.6645352591003757e-15,1.4210854715202004e-14
778493,cue_local_relearning,0.8042832548688293,2.4424906541753444e-15,2.842170943040401e-14
778494,change_point,0.1844353082845945,2.3314683517128287e-15,7.105427357601002e-15
778495,cue_local_relearning,1.1405054341790777,2.886579864025407e-15,7.105427357601002e-15
778496,cue_local_relearning,0.8732614789806977,1.3322676295501878e-15,1.4210854715202004e-14
778497,continuous_drift,0.8282466044564303,1.3322676295501878e-15,1.4210854715202004e-14
778498,continuous_drift,0.5235095786763457,3.552713678800501e-15,2.842170943040401e-14
778499,change_point,0.3477786486364388,1.5543122344752192e-15,1.4210854715202004e-14
778500,global_downweight,0.866970564279213,6.217248937900877e-15,2.842170943040401e-14
778501,continuous_drift,0.48452671284330356,3.1086244689504383e-15,1.4210854715202004e-14
778502,context_split,0.0021282394291275092,5.329070518200751e-15,1.4210854715202004e-14
778503,global_downweight,1.0239111952782811,3.552713678800501e-15,1.4210854715202004e-14
778504,change_point,0.44127835537639126,1.3322676295501878e-15,1.4210854715202004e-14
778505,continuous_drift,1.2135788820672397,1.1102230246251565e-15,7.105427357601002e-15
778506,cue_local_relearning,1.3072128111270818,1.1102230246251565e-15,2.842170943040401e-14
778507,context_split,1.0696428897811718,3.1086244689504383e-15,1.4210854715202004e-14
778508,continuous_drift,0.8132791978024396,7.549516567451064e-15,1.4210854715202004e-14
778509,change_point,0.7569952226346218,1.1102230246251565e-15,1.4210854715202004e-14
778510,global_downweight,0.6062519246464628,4.440892098500626e-15,1.4210854715202004e-14
778511,cue_local_relearning,0.8006640775143548,4.884981308350689e-15,2.1316282072803006e-14
778512,context_split,0.9467093913649447,1.5543122344752192e-15,1.4210854715202004e-14
778513,continuous_drift,0.44869987379886844,2.6645352591003757e-15,1.4210854715202004e-14
778514,change_point,0.5139454281569295,3.1086244689504383e-15,1.4210854715202004e-14
778515,cue_local_relearning,0.901485131138257,1.4432899320127035e-15,1.4210854715202004e-14
778516,context_split,0.6117865320781931,1.3322676295501878e-15,2.842170943040401e-14
778517,context_split,0.02736546065184145,4.440892098500626e-15,2.842170943040401e-14
778518,continuous_drift,0.6569584823989346,2.1094237467877974e-15,1.4210854715202004e-14
778519,change_point,0.4158491909338242,1.5543122344752192e-15,7.105427357601002e-15
778520,global_downweight,0.7827740835661973,2.220446049250313e-15,1.4210854715202004e-14
778521,global_downweight,1.1408377310834936,2.6645352591003757e-15,2.842170943040401e-14
778522,change_point,0.4422295980181207,2.220446049250313e-15,2.842170943040401e-14
778523,continuous_drift,0.7550166002523564,3.9968028886505635e-15,7.105427357601002e-15
778524,continuous_drift,0.5608292883354713,2.6645352591003757e-15,1.4210854715202004e-14
778525,context_split,1.1937034851147497,3.1086244689504383e-15,1.4210854715202004e-14
778526,cue_local_relearning,0.7307739332421317,2.6645352591003757e-15,4.263256414560601e-14
778527,context_split,0.5464622242073683,2.6645352591003757e-15,2.1316282072803006e-14
778528,continuous_drift,0.024541437826734343,8.43769498715119e-15,2.842170943040401e-14
778529,global_downweight,1.0569896147992548,3.1086244689504383e-15,2.842170943040401e-14
778530,continuous_drift,0.7429363428185489,3.1086244689504383e-15,2.842170943040401e-14
778531,global_downweight,1.1594894378488934,9.992007221626409e-16,2.1316282072803006e-14
778532,context_split,0.44972766962512034,3.9968028886505635e-15,1.4210854715202004e-14
778533,continuous_drift,0.9978397374708758,1.7763568394002505e-15,1.4210854715202004e-14
778534,context_split,0.8375462586471862,1.3322676295501878e-15,1.4210854715202004e-14
778535,global_downweight,1.0943036212673865,4.440892098500626e-15,1.4210854715202004e-14
778536,cue_local_relearning,0.8728447208369042,2.6645352591003757e-15,1.4210854715202004e-14
778537,continuous_drift,0.244277584886065,5.773159728050814e-15,7.105427357601002e-15
778538,cue_local_relearning,0.9674667048752773,2.6645352591003757e-15,1.4210854715202004e-14
778539,change_point,0.3361594638492922,2.1094237467877974e-15,1.4210854715202004e-14
778540,cue_local_relearning,1.0941696455914334,3.4416913763379853e-15,2.842170943040401e-14
