seed,selected,heldout,transfer,raw_transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
783700,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.2402874226140526, -2.379870969278717, -2.088880147089678, -2.533925764765514, -3.0864823992328683], ""matched_comparators"": [], ""maximum_decomposition_error"": 0.0, ""preheldout_complexity_per_observation"": [0.3572946120401747, 0.4421754455088551, 0.1628406075819432, 0.41623632319146847, 0.03174837516439563]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783701,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.003677200254744939, ""heldout_log_per_observation"": [-2.146159564915319, -2.1475973499599146, -2.149836765170064, -2.201834608408353, -2.2201014335282654], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4249200006982065, 0.5304022285537041, 0.4259375662233175, 0.5406807660900427, 0.44493151950515947]}",0.4,0.4,0.0,0.0,0.4,context_split,change_point
783702,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.1132207886858696, ""heldout_log_per_observation"": [-2.408240200490254, -2.3612298266584304, -2.1709372116493837, -2.356306848080143, -2.2841580003352533], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.39351238092004337, 0.48358334038330564, 0.45197555948335016, 0.4984724048324272, 0.46146777048706905]}",0.3999998327399086,0.3999998327399086,0.0,0.0,0.3999998327399086,context_split,global_downweight
783703,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": -0.1232454979176607, ""heldout_log_per_observation"": [-2.3473874197123745, -2.2211571524313936, -2.3444026503490543, -2.2747505294222554, -2.697945033126658], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.30511424944018545, 0.3875136717276601, 0.3151743844225818, 0.3734997116082357, 0.26001164812037775]}",0.3999984946616941,0.3999984946616941,0.0,0.0,0.3999984946616941,context_split,global_downweight
783704,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.08591496277207256, ""heldout_log_per_observation"": [-2.0293137198868703, -1.8210517660344943, -1.5747632292041258, -1.6606781919761984, -1.3869972969742825], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.41356541660530693, 0.5226746126105847, 0.44202547697620664, 0.5188004012884585, 0.04809670181870998]}",0.4,0.4,0.0,0.0,0.4,change_point,context_split
783705,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.062261330643205604, ""heldout_log_per_observation"": [-2.629089018611804, -2.520237175740056, -2.4579758450968505, -2.6199704737945817, -3.157051100543349], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4220006546762624, 0.5273320346404706, 0.4194482083234538, 0.5290126267539088, 0.4703757169563683]}",0.3999999999996853,0.3999999999996853,0.0,0.0,0.3999999999996853,context_split,cue_local_relearning
783706,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": 0.308051457179805, ""heldout_log_per_observation"": [-2.481527842935054, -2.344811573560041, -1.9708033566055336, -2.2788548137853386, -1.9261265163875017], ""matched_comparators"": [""global_downweight"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3695610504302292, 0.4709514102656187, 0.3403527621811904, 0.4547025894300462, 0.04411736886425396]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783707,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.0205703665130903, ""heldout_log_per_observation"": [-1.454201173813325, -1.5349273259823768, -1.4747715403264152, -1.57777242787943, -3.843481970845672], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.41501646750399, 0.5138191447707411, 0.3904970966793506, 0.5343513619494997, 0.035604309872221816]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,cue_local_relearning
783708,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.03700288289994624, ""heldout_log_per_observation"": [-1.6231210652794141, -1.6652180406432304, -1.589416285022593, -1.74159076576571, -1.5524134021226468], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.37997068568962905, 0.48807351310108366, 0.26351642428616756, 0.47758209064001084, 0.18889766848276512]}",0.3999984946616941,0.3999984946616941,0.0,0.0,0.3999984946616941,global_downweight,global_downweight
783709,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": -0.13034960372695625, ""heldout_log_per_observation"": [-1.9988741233138407, -1.943760731908002, -2.129223727040797, -2.062427600532188, -2.2255958746236626], ""matched_comparators"": [""global_downweight"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2113398628389613, 0.3173828684518205, 0.1806985845342527, 0.2949368039536137, 0.1286053977647044]}",0.39999999999996505,0.39999999999996505,0.0,0.0,0.39999999999996505,context_split,cue_local_relearning
783710,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.085235242794508, ""heldout_log_per_observation"": [-1.9142237865533822, -2.009236136622147, -1.7447372028401018, -1.8948521363030864, -1.8299724456346098], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""], ""maximum_decomposition_error"": 7.105427357601002e-15, ""preheldout_complexity_per_observation"": [0.3611554756585942, 0.44993459348259063, 0.3674192810733888, 0.4474609691355161, 0.26943707945414114]}",0.39999999793506014,0.39999999793506014,0.0,0.0,0.39999999793506014,context_split,continuous_drift
783711,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.04786447430682195, ""heldout_log_per_observation"": [-2.452823236325755, -2.2530212057157684, -1.9884056167770732, -2.229562876188999, -1.9405411424702512], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29109604051526544, 0.3861528137878349, 0.23253253535743343, 0.39817505697652433, 0.18682417403032126]}",0.39999999997450697,0.39999999997450697,0.0,0.0,0.39999999997450697,context_split,cue_local_relearning
783712,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.026620063405093042, ""heldout_log_per_observation"": [-1.8192322912053296, -1.8599841493793274, -1.7926122278002365, -1.9080803357628904, -2.074451389808382], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3731212933503038, 0.4737018779473283, 0.35376718228985754, 0.4949755039382427, 0.3284320515609919]}",0.39999999793506014,0.39999999793506014,0.0,0.0,0.39999999793506014,cue_local_relearning,global_downweight
783713,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.46990881663445805, ""heldout_log_per_observation"": [-2.3165475944187994, -2.339930627196402, -1.8466387777843414, -2.391492943776048, -3.0864823992300314], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4098531985374847, 0.5049413880701555, 0.4473598534027264, 0.5306253134085759, 0.1605924146591087]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,cue_local_relearning
783714,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.026156121910293706, ""heldout_log_per_observation"": [-1.5579648705896183, -1.5385370321101925, -1.5123809101998988, -1.5769968519308524, -1.5186482693507015], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3628763497917797, 0.4539397277698313, 0.3418953362428195, 0.47618324404573603, 0.17181559954035674]}",0.39999998141554194,0.39999998141554194,0.0,0.0,0.39999998141554194,context_split,global_downweight
