seed,truth,heldout_log_per_observation,preheldout_complexity_per_observation,matched_comparators,best_matched_comparator,generating_family_margin,maximum_decomposition_error
783000,global_downweight,"[-1.9910718919147898, -2.05625169348183, -2.3463276627006655, -2.083334701811804, -2.2513970349055823]","[0.2541838528378487, 0.3427250861780995, 0.18224895630429072, 0.366067158104475, 0.07561819738985519]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",cue_local_relearning,0.06517980156703995,1.4210854715202004e-14
783001,global_downweight,"[-1.5310695004030022, -1.5897247367871215, -1.5260566391689032, -1.6036618385530952, -3.0027898137140543]","[0.23361670803992496, 0.3203204760333367, 0.1440130513207134, 0.3356588333221497, 0.05926418872146864]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",context_split,-0.005012861234098942,1.4210854715202004e-14
783002,global_downweight,"[-1.8699647659695282, -1.9467468738316862, -1.7457177165668423, -1.8924021132252173, -2.690654270871092]","[0.3268098666848345, 0.4120594769440394, 0.33367072310455, 0.4256293137208347, 0.1952968635611951]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",context_split,-0.12424704940268594,0.0
783003,global_downweight,"[-1.5950402229314538, -1.5671215707569779, -1.5586953315396412, -1.7242742292966122, -1.4518817525548098]","[0.3021299634775284, 0.38153228529127214, 0.24772609150101532, 0.36889001343890376, 0.1863849845021676]","[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]",change_point,-0.14315847037664398,1.4210854715202004e-14
783004,global_downweight,"[-2.272440382149294, -2.1173075876784244, -2.0105740321026477, -2.037552270636425, -1.9990492535936637]","[0.25939320783200576, 0.3523074532797184, 0.16831496259030285, 0.3618330849088756, 0.10647332258526793]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",context_split,-0.26186635004664627,2.842170943040401e-14
783005,global_downweight,"[-1.3833141260220874, -1.3749208952327887, -1.409515254955025, -1.4449061408821757, -1.3464038376137966]","[0.257637653780274, 0.33251081082558614, 0.16272977756534812, 0.3429873310288178, 0.08881036820751036]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",cue_local_relearning,-0.008393230789298656,7.105427357601002e-15
783006,global_downweight,"[-1.4327916797999158, -1.368657421580342, -1.4324540731039255, -1.4625324256206849, -1.7790701576195111]","[0.3370976249210926, 0.4162138069903827, 0.20050644067545523, 0.42735559414569196, 0.06336043798770033]","[""cue_local_relearning"", ""continuous_drift""]",cue_local_relearning,-0.06413425821957386,2.842170943040401e-14
783007,global_downweight,"[-2.062894375545433, -2.094371375017703, -2.108295321962218, -2.163757176734628, -2.3597080165719966]","[0.25797431732406156, 0.3366222426811005, 0.19046617437319777, 0.35561275132457704, 0.1579655003164275]","[""cue_local_relearning"", ""context_split"", ""continuous_drift"", ""change_point""]",cue_local_relearning,0.031476999472269895,1.4210854715202004e-14
783008,global_downweight,"[-1.899118111851994, -1.8805173733426406, -1.8954463711862983, -2.045131264777149, -1.9842830932853843]","[0.2839234080393239, 0.35854994664138706, 0.1981848492512607, 0.372686508753942, 0.10724074015846037]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",cue_local_relearning,-0.0186007385093534,1.4210854715202004e-14
783009,global_downweight,"[-2.015109733425416, -2.1858526733856687, -2.483758507751065, -1.8356373669683732, -2.463065032888063]","[0.27953204721380254, 0.37225892475644345, 0.1554561840818654, 0.3695343463096705, 0.10208694989795553]","[""cue_local_relearning"", ""context_split"", ""continuous_drift""]",continuous_drift,-0.179472366457043,1.4210854715202004e-14
