seed,margin,best_matched_comparator,matched_count,matched_comparators
787960,0.018229615448065672,change_point,2,global_downweight|change_point
787961,-0.07495557737620917,cue_local_relearning,3,global_downweight|cue_local_relearning|change_point
787962,-0.09945394210338154,change_point,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787963,0.1141272810894165,global_downweight,2,global_downweight|change_point
787964,0.11296869811890176,global_downweight,3,global_downweight|cue_local_relearning|continuous_drift
787965,-0.1097544996285098,continuous_drift,3,global_downweight|continuous_drift|change_point
787966,0.05873970141104845,continuous_drift,3,global_downweight|cue_local_relearning|continuous_drift
787968,0.38519372900727156,cue_local_relearning,3,global_downweight|cue_local_relearning|continuous_drift
787969,0.215364574136224,global_downweight,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787970,0.0771722234244141,continuous_drift,3,global_downweight|cue_local_relearning|continuous_drift
787971,-0.058005538041918214,change_point,2,global_downweight|change_point
787972,0.10309414789587823,global_downweight,3,global_downweight|cue_local_relearning|change_point
787973,0.036219452132423946,global_downweight,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787974,-0.30116797640929605,global_downweight,2,global_downweight|change_point
787975,0.015850818854617366,change_point,2,global_downweight|change_point
787976,0.050122189564252295,continuous_drift,3,global_downweight|cue_local_relearning|continuous_drift
787977,0.16880407153952248,continuous_drift,3,global_downweight|cue_local_relearning|continuous_drift
787978,-0.04209016496700535,change_point,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787979,-0.15134966302778796,change_point,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787980,-0.04464328204359713,change_point,3,global_downweight|continuous_drift|change_point
787981,0.12796287920951332,global_downweight,2,global_downweight|cue_local_relearning
787982,0.41069756561117376,cue_local_relearning,3,global_downweight|cue_local_relearning|continuous_drift
787983,0.06997667755569026,continuous_drift,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787984,0.24848584507142402,global_downweight,1,global_downweight
787985,0.43546538223600884,global_downweight,1,global_downweight
787986,0.16094688178920347,global_downweight,4,global_downweight|cue_local_relearning|continuous_drift|change_point
787987,-0.17353220055463225,cue_local_relearning,3,global_downweight|cue_local_relearning|continuous_drift
787988,0.004273256969392847,global_downweight,3,global_downweight|cue_local_relearning|continuous_drift
787989,0.13222128706318692,cue_local_relearning,2,global_downweight|cue_local_relearning
787990,0.043766598187727546,global_downweight,1,global_downweight
787991,0.31248904656669385,global_downweight,1,global_downweight
787992,0.05531598165553486,cue_local_relearning,3,global_downweight|cue_local_relearning|continuous_drift
787993,-0.2967260880790965,change_point,4,global_downweight|cue_local_relearning|continuous_drift|change_point
