seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count
790700,32,24,False,False,0.07258064516129031,0.9274193548387097,1.5803529844034855e-05,0.999984196470156,4952.034990889656,8.50755388035111,0.0,-0.20656639777966457,1.498447994715355,2.0781985394017632,1.5479860204162028,4.099419459983881,4.744275954211059,6.40724138336444,0.804,-4.950842351990723,False,0.5081845160459453,0.49181548395405467,0.45904762507620855,0.5409523749237914,8,0.34782608695652173,2.6666666666666665,5,0.4166666666666667,0.4166666666666667,0.23333333333333336,0.9411764705882353,17
790700,64,48,True,True,0.02337662337662337,0.9766233766233766,6.100062675359823e-16,0.9999999999999994,39239220130396.6,31.300697876075425,0.0,5.413629015861634,3.495529798785961,3.3126961913574946,3.6181890683013567,7.762392793230874,8.859327368798713,10.684841425711895,0.279,-3.445698352937079,False,0.5081845160459453,0.49181548395405467,0.45904762507620855,0.5409523749237914,21,0.44680851063829785,2.1818181818181817,5,0.5,0.5,0.5773809523809524,0.9142857142857143,35
790700,96,72,True,True,0.011392405063291136,0.9886075949367089,7.26956616600635e-22,1.0,1.5851960511635788e+19,44.20982485815279,0.0,13.531624305669132,6.926373800283959,4.257943482923186,6.958189294828265,12.303089647879402,13.869205441879297,17.251720913877616,0.06,-0.33758113621016506,False,0.5081845160459453,0.49181548395405467,0.45904762507620855,0.5409523749237914,35,0.49295774647887325,2.0,5,0.4722222222222222,0.47222222222222227,0.5523569023569024,0.9122807017543859,57
790701,32,24,True,True,0.07258064516129031,0.9274193548387097,3.244469559200662e-10,0.9999999996755531,241213141.66099632,19.301191505831405,0.0,5.9386402165873395,1.783641253039602,2.1818400452490088,1.7923155993439552,4.59290791385252,5.45088652645424,7.248320591347097,0.03,0.48775369013309966,True,0.8145263040205515,0.18547369597944852,0.15910879264421052,0.8408912073557894,4,0.17391304347826086,4.8,8,0.4166666666666667,0.4166666666666667,0.6444444444444445,1.0,18
790701,64,48,True,True,0.02337662337662337,0.9766233766233766,7.654184431107301e-19,1.0,3.1272006087921308e+16,37.98149971807775,0.0,10.983017811974541,3.9055656760387087,3.200359262121117,3.8470800126281177,8.027309306267675,9.16196502650622,11.00628831138063,0.011,1.8210527854683214,True,0.8145263040205515,0.18547369597944852,0.15910879264421052,0.8408912073557894,11,0.23404255319148937,4.0,8,0.4166666666666667,0.4166666666666667,0.47195767195767196,0.972972972972973,37
790701,96,72,True,True,0.011392405063291136,0.9886075949367089,8.548475106138746e-25,1.0,1.3480401401356734e+22,50.9555238354645,0.0,16.306752750662845,5.360019280216445,3.878421924993132,5.447762676997429,10.236594601636499,11.45101335102602,14.268296437109141,0.003,4.855739399636825,True,0.8145263040205515,0.18547369597944852,0.15910879264421052,0.8408912073557894,17,0.23943661971830985,4.0,8,0.3888888888888889,0.3888888888888889,0.5740740740740741,0.9814814814814815,54
790702,32,24,True,True,0.07258064516129031,0.9274193548387097,2.922699026506282e-09,0.9999999970773009,26776917.030021865,17.10305076949501,0.0,7.852160099977821,3.082557721909414,2.060356747580612,3.0526035635412603,5.71785653970835,6.4964582788333605,7.823197231265203,0.009,1.3557018211444607,True,0.5453526903523033,0.4546473096476966,0.19919819650887896,0.800801803491121,7,0.30434782608695654,3.0,6,0.4166666666666667,0.4166666666666667,0.6,0.95,20
790702,64,48,True,True,0.02337662337662337,0.9766233766233766,4.600840973326855e-10,0.999999999539916,52025641.26976355,17.767247256352793,0.0,11.564391879937524,5.215057445067175,2.6020984983071287,5.212956644305027,8.556828127857347,9.500213752295195,11.437794652602971,0.01,2.0641781276423288,True,0.5453526903523033,0.4546473096476966,0.19919819650887896,0.800801803491121,13,0.2765957446808511,3.4285714285714284,9,0.3125,0.3125,0.6796296296296296,0.9714285714285714,35
790702,96,72,True,True,0.011392405063291136,0.9886075949367089,9.488792327060614e-24,1.0,1.2144525017332056e+21,48.54858031225219,0.0,15.766327261795615,6.243270366656811,4.154152378214542,6.157373376570048,11.501369908047954,12.937775147587915,15.780636027053129,0.011,2.8285521142076995,True,0.5453526903523033,0.4546473096476966,0.19919819650887896,0.800801803491121,20,0.28169014084507044,3.4285714285714284,9,0.4166666666666667,0.4166666666666667,0.651010101010101,0.9444444444444444,54
790703,32,24,True,True,0.07258064516129031,0.9274193548387097,0.00018500141581540157,0.9998149985841845,422.9502290491701,6.04725451030129,0.0,4.748659691019538,1.3715112899398003,1.2993955378514928,1.2262944411262398,3.1472617845677906,3.6747978182028964,4.771120559448108,0.012,1.073861872816642,True,0.9321806818766238,0.06781931812337619,0.35968007590136253,0.6403199240986375,1,0.043478260869565216,12.0,20,0.16666666666666666,0.16666666666666666,0.3666666666666667,0.9565217391304348,23
