seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count,population
788500,32,24,True,True,0.07258064516129031,0.9274193548387097,1.9239808268340758e-07,0.9999998076019173,406765.2515890969,12.915991520602281,0.0,2.9592493162845575,0.018048190078543146,2.067699556682793,0.019623805205938538,2.526026605395569,3.3067147380087083,4.6736027694639715,0.069,-0.34746542172415085,False,0.8812986434522418,0.11870135654775818,0.2740212771016096,0.7259787228983903,3,0.13043478260869565,6.0,10,0.20833333333333334,0.20833333333333334,0.5873015873015873,0.8947368421052632,19,consumed_v243_genuine_noncriterial
788501,32,24,False,False,0.07258064516129031,0.9274193548387097,0.12920459748274316,0.8707954025172568,0.5274518611730991,-0.6396976762358428,0.0,0.21508682985638772,0.3159839178522631,1.202889837482999,0.3673282295827993,1.7783265280134377,2.1932254327587,3.121220556564271,0.561,-1.9781386029023122,False,0.6206243472324287,0.37937565276757124,0.060971907539590676,0.9390280924604092,2,0.08695652173913043,8.0,20,0.08333333333333333,0.08333333333333333,0.5714285714285714,0.8888888888888888,18,consumed_v243_genuine_noncriterial
788502,32,24,True,True,0.07258064516129031,0.9274193548387097,4.5541862856268975e-08,0.9999999544581372,1718437.9621901796,14.356926274643786,0.0,0.6928164952665882,-3.2949014229098403,2.0080290389515043,-3.264363711319778,-0.8009551439967026,-0.05714417461153576,1.4234775636281303,0.022,0.7499606698781239,True,0.6819418440045659,0.3180581559954341,0.18299321674004917,0.8170067832599508,3,0.13043478260869565,6.0,9,0.4166666666666667,0.4166666666666667,0.4611111111111112,0.8666666666666667,15,consumed_v243_genuine_noncriterial
788503,32,24,True,True,0.07258064516129031,0.9274193548387097,3.6203945231544705e-08,0.9999999637960547,2161666.8081708397,14.58639015252525,1.1754943508222875e-38,3.4402934480664706,-0.49417432316426857,2.090096645395735,-0.4247797260652795,2.1059644195880773,2.8819022239985745,4.070776775271851,0.029,0.5583912240678961,True,0.5421952053802112,0.4578047946197889,0.11707802824346351,0.8829219717565365,5,0.21739130434782608,4.0,7,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.9523809523809523,21,consumed_v243_genuine_noncriterial
788504,32,24,True,True,0.07258064516129031,0.9274193548387097,9.008668540783476e-08,0.9999999099133147,868728.4048764531,13.674785817856012,0.0,2.9940896481097767,0.9304886579473944,2.0542215043895378,0.8820028729944984,3.5436204330535177,4.275937821885488,5.663211847583213,0.17,-1.2818481737757117,False,0.7177357921661994,0.2822642078338004,0.20564617885111242,0.7943538211488874,3,0.13043478260869565,6.0,12,0.25,0.25,0.2777777777777778,0.95,20,consumed_v243_genuine_noncriterial
788505,32,24,True,True,0.07258064516129031,0.9274193548387097,3.0309966647124847e-05,0.9999696900333529,2581.939412602242,7.856296105833923,0.0,6.773422201793963,2.4765912656262734,1.7357560622120909,2.461224496452978,4.718713702807889,5.350669934224749,6.437896496210634,0.008,1.422752267569214,True,0.802692835662206,0.197307164337794,0.4701308967099526,0.5298691032900473,7,0.30434782608695654,3.0,11,0.25,0.25,0.5857142857142857,1.0,22,consumed_v243_genuine_noncriterial
788506,32,24,True,True,0.07258064516129031,0.9274193548387097,0.003791476215300961,0.996208523784699,20.56300525506091,3.0234935998984067,0.0,2.607193995198713,2.325846235547918,1.5806906797125992,2.23097727549714,4.495604241108005,4.93087747156111,5.846584960327483,0.413,-2.323683476362397,False,0.9619301792382526,0.0380698207617474,0.07045104130206388,0.9295489586979362,2,0.08695652173913043,8.0,14,0.3333333333333333,0.3333333333333333,0.08888888888888886,0.9047619047619048,21,consumed_v243_genuine_noncriterial
788507,32,24,False,False,0.07258064516129031,0.9274193548387097,1.6078801320528537e-13,0.9999999999998392,486733233436.28546,26.910982034660474,0.0,-0.7569526340968493,2.1323555343971092,2.4516209441069283,2.2978637648466225,5.167428968818975,6.033834599791083,7.398844118957401,0.875,-6.790787233887933,False,0.9399268752888752,0.06007312471112479,0.13999841668089869,0.8600015833191014,1,0.043478260869565216,12.0,14,0.4166666666666667,0.4166666666666667,0.7000000000000001,0.9090909090909091,22,consumed_v243_genuine_noncriterial
788508,32,24,True,True,0.07258064516129031,0.9274193548387097,2.2592525976581113e-10,0.9999999997740747,346401591.5203975,19.663109329100422,0.0,2.1290930635621814,0.814574192060636,2.2179203128761804,0.8909766133584868,3.756042348883771,4.364943741799149,5.669036118001452,0.286,-2.235850678236967,False,0.9769301488022386,0.02306985119776132,0.05059498594788443,0.9494050140521155,3,0.13043478260869565,6.0,12,0.4583333333333333,0.4583333333333333,0.35000000000000003,1.0,20,consumed_v243_genuine_noncriterial
788509,32,24,True,True,0.07258064516129031,0.9274193548387097,4.603232061922815e-07,0.9999995396767938,170012.792071214,12.043628960679179,0.0,2.186870586608505,2.5558295207840915,2.2037630801029513,2.4923989831929783,5.338156082342843,6.291652938773863,7.635584321087135,0.567,-4.104782352165358,False,0.8946858586574423,0.10531414134255782,0.15106969105336693,0.848930308946633,4,0.17391304347826086,4.8,11,0.25,0.25,0.1873015873015873,0.8636363636363636,22,consumed_v243_genuine_noncriterial
788510,32,24,False,False,0.07258064516129031,0.9274193548387097,0.6099910885910065,0.3900089114089936,0.05003751221276723,-2.9949823105911846,0.0,-1.1487801362217116,-1.6755835507288852,0.7631398726685633,-1.4026482505175584,-0.8936074943784744,-0.4578445727612428,-0.39275794616149473,0.336,-0.6909355634604688,False,0.9937525766377384,0.006247423362261543,0.08628727154558001,0.91371272845442,0,0.0,24.0,24,0.0,0.0,0.0,0.9583333333333334,24,consumed_v243_genuine_noncriterial
788511,32,24,True,True,0.07258064516129031,0.9274193548387097,0.0007114630817380367,0.9992885369182619,109.92164154846822,4.699767762391533,0.0,2.0559094519969827,0.4140598705811012,1.2171404126337544,0.18231952256882122,2.0482077888601404,2.6873226669803456,3.863123118655456,0.098,-0.6314132149833629,False,0.9101244680776714,0.08987553192232858,0.28742826983695496,0.712571730163045,2,0.08695652173913043,8.0,20,0.125,0.125,0.7619047619047619,1.0,23,consumed_v243_genuine_noncriterial
