seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
770000,global_downweight,context_split,0.04664228469955106,"[0.04664228469955106, 0.008848272135799012, 0.9250856045442649, 0.019423787960694057, 5.0659690937719536e-08]",3.774758283725532e-15,1.4210854715202004e-14
770001,global_downweight,continuous_drift,0.3831722137838354,"[0.3831722137838354, 0.21930316263896762, 8.764144598122056e-06, 0.39751583596169754, 2.34709013051793e-08]",3.552713678800501e-15,1.4210854715202004e-14
770002,global_downweight,global_downweight,0.3951656548704655,"[0.3951656548704655, 0.34845120680142383, 0.12897345727028892, 0.12693477736729955, 0.0004749036905221514]",1.7763568394002505e-15,1.4210854715202004e-14
770003,global_downweight,global_downweight,0.5830426810450926,"[0.5830426810450926, 0.1181074345232117, 4.791672732455608e-05, 0.29880195989537783, 7.808993218756024e-09]",3.9968028886505635e-15,1.4210854715202004e-14
770004,global_downweight,global_downweight,0.616333996502754,"[0.616333996502754, 0.06683836183212882, 0.012009713197147874, 0.30481769362232014, 2.3484564921530093e-07]",4.6629367034256575e-15,1.4210854715202004e-14
770005,global_downweight,cue_local_relearning,0.3303629137366262,"[0.3303629137366262, 0.587666512132841, 1.231497411983234e-05, 0.08195825605522346, 3.10118958686257e-09]",2.6645352591003757e-15,1.4210854715202004e-14
770006,global_downweight,cue_local_relearning,0.3901039654946509,"[0.3901039654946509, 0.5249526670179459, 0.006058477986463976, 0.07888469541781602, 1.940831231779236e-07]",4.440892098500626e-15,2.842170943040401e-14
770007,global_downweight,global_downweight,0.5945224310689747,"[0.5945224310689747, 0.23321595302723824, 0.000818146577973342, 0.17136515661408294, 7.831271173073935e-05]",1.9984014443252818e-15,1.4210854715202004e-14
770008,global_downweight,cue_local_relearning,0.4460738305884972,"[0.4460738305884972, 0.4693860494242982, 3.8794673108023876e-05, 0.08450132522228575, 9.181092578127215e-11]",3.552713678800501e-15,1.4210854715202004e-14
770009,global_downweight,context_split,0.03509922799745742,"[0.03509922799745742, 0.01670668295908417, 0.9319094643875855, 0.01628462465266874, 3.204316374659394e-12]",4.440892098500626e-15,2.1316282072803006e-14
