lesion,n,mean_target_intact,mean_target_cut,mean_absolute_disappearance,maximum_survivor_error
local_to_global_broadcast,120,0.2941596013709573,0.133875,0.16028460137095732,0.0
cue_root_association,120,0.34765792678246155,0.0,0.34765792678246155,0.0
formation_coupling,120,-0.03649035131647531,0.0,0.20333650222322633,0.0
action_to_availability,120,4.75,0.0,4.75,0.0
context_model,120,0.95,0.0,0.95,0.0
episode_interaction,120,0.9166666666666666,0.0,0.9166666666666666,0.0
reduction,120,0.925,0.0,0.925,0.0
partner_to_relational_precision,120,0.7624359344734374,0.3499999999999999,0.41243593447343746,0.0
attribution,120,0.05153506611534649,0.0,0.05153506611534649,0.0
partner_to_protector_trust,120,0.9878048780487808,0.8252032520325201,0.16260162601626071,0.0
cross_protector_coupling,120,0.2596001651068512,1.4456028966473393e-17,0.2596001651068512,2.220446049250313e-16
registration,120,0.5,0.0,0.5,0.0
policy_to_contact,120,0.13896690934600678,0.0,0.13896690934600678,0.0
