seed,cell,triplet,variant,length,event_count,truth,formation_truth,selected,T_probability,D_probability,P_probability,winning_log_evidence,formation_selected,high_or_integrated,false_P_eligible,false_P,maximum_prior_difference,maximum_slice_log_bf,maximum_posterior_step,brier_P
813101,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813102,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813103,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813104,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813105,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813106,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813107,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813108,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813109,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813110,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813111,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813112,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813113,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813114,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813115,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813116,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813117,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813118,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813119,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813120,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813121,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813122,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
813123,no_event,,,80,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813124,no_event,,,160,0,T,0,T,0.5,0.25,0.25,0.6931471805599472,0,0,0,0,0.0,0.0,0.0,0.0625
813125,no_event,,,40,0,T,0,T,0.5,0.25,0.25,0.6931471805599401,0,0,0,0,0.0,0.0,0.0,0.0625
