position,seed,q_P,stratum,eligible,retained,reason,state_sha256,reload_sha256,rehash_ok,released_block_authorization,cumulative_moderate,cumulative_strong,cumulative_very_strong,retained_moderate,retained_strong,retained_very_strong
1,815001,0.9977007426877684,,0,0,above_nonsaturation_range,bdf589a49318ec4cc357d0d1a1b3150b6e45d2d2a1b7a773bc3e7a125109073f,bdf589a49318ec4cc357d0d1a1b3150b6e45d2d2a1b7a773bc3e7a125109073f,1,815001:815800,0,0,0,0,0,0
2,815002,0.9840035231619773,,0,0,above_nonsaturation_range,a574d1e7fdf24c3fa543d6eaef50831ac590c284295f660b68f1d491cb89a2b4,a574d1e7fdf24c3fa543d6eaef50831ac590c284295f660b68f1d491cb89a2b4,1,815001:815800,0,0,0,0,0,0
3,815003,0.6731439647554901,moderate,1,1,retained_first_eligible,4dcf78e127753811f280141f62761ebbcb5e33c8b585f2098cbac3f6bfe2a261,4dcf78e127753811f280141f62761ebbcb5e33c8b585f2098cbac3f6bfe2a261,1,815001:815800,1,0,0,1,0,0
4,815004,0.9996551635393546,,0,0,above_nonsaturation_range,86650d2339e2e6dfc85cd8aa80cb2b77d78521bdee7c3d55e499a00233414453,86650d2339e2e6dfc85cd8aa80cb2b77d78521bdee7c3d55e499a00233414453,1,815001:815800,1,0,0,1,0,0
5,815005,0.9999897705200425,,0,0,above_nonsaturation_range,d642c32e45d47a8a041e42532e6536281d1341ee78a506b59e71c166bdacacb5,d642c32e45d47a8a041e42532e6536281d1341ee78a506b59e71c166bdacacb5,1,815001:815800,1,0,0,1,0,0
6,815006,0.9999999872815963,,0,0,above_nonsaturation_range,018d3ef327e5977c46e50a48db1af2014acf37fe7f6d391ba8d604cf19560ea3,018d3ef327e5977c46e50a48db1af2014acf37fe7f6d391ba8d604cf19560ea3,1,815001:815800,1,0,0,1,0,0
7,815007,0.9999999999847488,,0,0,above_nonsaturation_range,60549d395d0c8270976d667295be4140a033b4f6cd8211fafe3cbfff723b09c7,60549d395d0c8270976d667295be4140a033b4f6cd8211fafe3cbfff723b09c7,1,815001:815800,1,0,0,1,0,0
8,815008,0.9499664387954603,very_strong,1,1,retained_first_eligible,7deb9523edae3f9a9182a222abddc1aa43d5a9b605fe940d811429f4afd4c653,7deb9523edae3f9a9182a222abddc1aa43d5a9b605fe940d811429f4afd4c653,1,815001:815800,1,0,1,1,0,1
9,815009,0.9994519861979129,,0,0,above_nonsaturation_range,a17ab74ffe297c132d6685fa578d60dbe20b8c0bb6cb290afdadbbceb37a1d01,a17ab74ffe297c132d6685fa578d60dbe20b8c0bb6cb290afdadbbceb37a1d01,1,815001:815800,1,0,1,1,0,1
10,815010,0.9999817054145479,,0,0,above_nonsaturation_range,bd7aa1e9751365fb9cbb724efb5f56145169f0c62c67187ab11cf3b843a75488,bd7aa1e9751365fb9cbb724efb5f56145169f0c62c67187ab11cf3b843a75488,1,815001:815800,1,0,1,1,0,1
11,815011,0.9999544406234826,,0,0,above_nonsaturation_range,ccb271b7d59689ab9e298bc6a4d5ee0b3a46c7e1860dfce289c0f01b1aef7afb,ccb271b7d59689ab9e298bc6a4d5ee0b3a46c7e1860dfce289c0f01b1aef7afb,1,815001:815800,1,0,1,1,0,1
12,815012,0.9964069544015727,,0,0,above_nonsaturation_range,28d5625d59d47e347f6955af2d2104e0933851d01f14c4bfdb8ee8d4724c7e8e,28d5625d59d47e347f6955af2d2104e0933851d01f14c4bfdb8ee8d4724c7e8e,1,815001:815800,1,0,1,1,0,1
13,815013,0.9999524320173685,,0,0,above_nonsaturation_range,12296d083fe5330c83064529228d23a626ff84e0d0aa17ec788134a6e54a491b,12296d083fe5330c83064529228d23a626ff84e0d0aa17ec788134a6e54a491b,1,815001:815800,1,0,1,1,0,1
14,815014,0.9999994369227324,,0,0,above_nonsaturation_range,465ed5edd7a8fba211634921bf4621d7e3d33f056549a5fa88cfb5c2a7e2f7b7,465ed5edd7a8fba211634921bf4621d7e3d33f056549a5fa88cfb5c2a7e2f7b7,1,815001:815800,1,0,1,1,0,1
15,815015,0.9999999988937075,,0,0,above_nonsaturation_range,b3b556affe85f55fc9f7b30dd0441a0c97f5210a9e62d908dce9e8d234113b06,b3b556affe85f55fc9f7b30dd0441a0c97f5210a9e62d908dce9e8d234113b06,1,815001:815800,1,0,1,1,0,1
16,815016,0.9891734861030606,,0,0,above_nonsaturation_range,7f8879361e6e2bea66a698f037a4bc652315a095351754288e34bf09df0e5bc6,7f8879361e6e2bea66a698f037a4bc652315a095351754288e34bf09df0e5bc6,1,815001:815800,1,0,1,1,0,1
17,815017,0.9994519861979129,,0,0,above_nonsaturation_range,4609fd1f5eb9db2490466b0d4b9abe26282f72b92aea04a345602cb1d136ea3f,4609fd1f5eb9db2490466b0d4b9abe26282f72b92aea04a345602cb1d136ea3f,1,815001:815800,1,0,1,1,0,1
18,815018,0.9680020771768864,very_strong,1,1,retained_first_eligible,7387525f7c9ed0de16e959e447f3ebe75689553b908f746904f329be03574200,7387525f7c9ed0de16e959e447f3ebe75689553b908f746904f329be03574200,1,815001:815800,1,0,2,1,0,2
19,815019,0.999966883600579,,0,0,above_nonsaturation_range,b28276260c848f7761299badbaf7c80ba39c4e0e4d8154518c3212091566e59a,b28276260c848f7761299badbaf7c80ba39c4e0e4d8154518c3212091566e59a,1,815001:815800,1,0,2,1,0,2
20,815020,0.9538338136214437,very_strong,1,1,retained_first_eligible,c1c85d54fcd119a3a93a900659afa928a7e35a5d49a5f4e39da2a315762ddcb5,c1c85d54fcd119a3a93a900659afa928a7e35a5d49a5f4e39da2a315762ddcb5,1,815001:815800,1,0,3,1,0,3
21,815021,0.9999888615585472,,0,0,above_nonsaturation_range,905efac7c86c6f6f8d8547844ec63ff65e33aa99f513da186cefbb3d08d89006,905efac7c86c6f6f8d8547844ec63ff65e33aa99f513da186cefbb3d08d89006,1,815001:815800,1,0,3,1,0,3
22,815022,0.9999999999788309,,0,0,above_nonsaturation_range,ca1c6dcab94d046131204307c84df477558c6f8782b21ce53c03dbdf94d56135,ca1c6dcab94d046131204307c84df477558c6f8782b21ce53c03dbdf94d56135,1,815001:815800,1,0,3,1,0,3
23,815023,0.9999941881898059,,0,0,above_nonsaturation_range,621f807ff53ca98058f426c285884dec1d20462bb052ad44aa12facc27aa5ebe,621f807ff53ca98058f426c285884dec1d20462bb052ad44aa12facc27aa5ebe,1,815001:815800,1,0,3,1,0,3
24,815024,0.17820452899572958,,0,0,below_formed_range,12bd638df8efe040be309180ff73ce9d0cd073f3fb0f40c95d90cd3c0f737129,12bd638df8efe040be309180ff73ce9d0cd073f3fb0f40c95d90cd3c0f737129,1,815001:815800,1,0,3,1,0,3
25,815025,0.6922665016848238,moderate,1,1,retained_first_eligible,f6de725761d0fc4f9920bf62d05d2a6ed176a73a65964d4b3d55f5796ce60e86,f6de725761d0fc4f9920bf62d05d2a6ed176a73a65964d4b3d55f5796ce60e86,1,815001:815800,2,0,3,2,0,3
26,815026,0.9984467711038034,,0,0,above_nonsaturation_range,c94c07bc31aef748b53c309c12eaba24b14b75f5f50341cdf62365ca9637e130,c94c07bc31aef748b53c309c12eaba24b14b75f5f50341cdf62365ca9637e130,1,815001:815800,2,0,3,2,0,3
27,815027,0.9997938355054876,,0,0,above_nonsaturation_range,2e15b195e2e4bae283b1e8b26e0e7d620033508834b34fe032c5a4a345ba828e,2e15b195e2e4bae283b1e8b26e0e7d620033508834b34fe032c5a4a345ba828e,1,815001:815800,2,0,3,2,0,3
28,815028,0.9999997615434517,,0,0,above_nonsaturation_range,e866436b2ef1802e89709dddea1f48383904df38348911af2f8da133c4639b9d,e866436b2ef1802e89709dddea1f48383904df38348911af2f8da133c4639b9d,1,815001:815800,2,0,3,2,0,3
29,815029,0.9998099141032383,,0,0,above_nonsaturation_range,e3df30a4e5fc31115a2abf6f03e67d5d0a303726028a45f5555c0c9e5cb10a84,e3df30a4e5fc31115a2abf6f03e67d5d0a303726028a45f5555c0c9e5cb10a84,1,815001:815800,2,0,3,2,0,3
30,815030,0.999999973574505,,0,0,above_nonsaturation_range,839b7361b20e1d6023d4bb4f28f1122bfe86ab93cb502af8fbbf5fde427a7332,839b7361b20e1d6023d4bb4f28f1122bfe86ab93cb502af8fbbf5fde427a7332,1,815001:815800,2,0,3,2,0,3
31,815031,0.9999999999195329,,0,0,above_nonsaturation_range,7c71223c86db4b4833e45cfa4a98914a40b6b8422aa910457b6cd40923c8832d,7c71223c86db4b4833e45cfa4a98914a40b6b8422aa910457b6cd40923c8832d,1,815001:815800,2,0,3,2,0,3
32,815032,0.734010406866023,moderate,1,1,retained_first_eligible,b0149e7e5895381d740e583b7569ded126345e3b3d84b1d4dc81df8cdadb8755,b0149e7e5895381d740e583b7569ded126345e3b3d84b1d4dc81df8cdadb8755,1,815001:815800,3,0,3,3,0,3
33,815033,0.9529185163111111,very_strong,1,1,retained_first_eligible,00415bdd581692907e987f4967c94c42a42169730890fb0e9a7d9cc67bc36563,00415bdd581692907e987f4967c94c42a42169730890fb0e9a7d9cc67bc36563,1,815001:815800,3,0,4,3,0,4
34,815034,0.024936302434771684,,0,0,below_formed_range,6e2cb101237c85034186beb1b68b99708f1035dae8a213a397b5f5c43759171a,6e2cb101237c85034186beb1b68b99708f1035dae8a213a397b5f5c43759171a,1,815001:815800,3,0,4,3,0,4
35,815035,0.9998629611888872,,0,0,above_nonsaturation_range,227ebe89d9d9eccd74666387ff20f74abdfe938a121e93c4cbf4b590c2cab3ee,227ebe89d9d9eccd74666387ff20f74abdfe938a121e93c4cbf4b590c2cab3ee,1,815001:815800,3,0,4,3,0,4
36,815036,0.9994750510445144,,0,0,above_nonsaturation_range,63b5041037e57e4e5d1e261116a6753a74fe9b0f2bc2004fce1e629ac4101024,63b5041037e57e4e5d1e261116a6753a74fe9b0f2bc2004fce1e629ac4101024,1,815001:815800,3,0,4,3,0,4
37,815037,0.9999999599849234,,0,0,above_nonsaturation_range,67a2b2c37210a73a0cb8f5367d27b87cc8fd79781b2af73ad3e25b0b6f5583b8,67a2b2c37210a73a0cb8f5367d27b87cc8fd79781b2af73ad3e25b0b6f5583b8,1,815001:815800,3,0,4,3,0,4
38,815038,0.9999972360901601,,0,0,above_nonsaturation_range,664150107d390b69c9c35ca35299f46fd53f337b21aa344740dbea0dbf412fe1,664150107d390b69c9c35ca35299f46fd53f337b21aa344740dbea0dbf412fe1,1,815001:815800,3,0,4,3,0,4
39,815039,0.9999999825558862,,0,0,above_nonsaturation_range,2f416bcdd88ddfafce2f75456b4300d15bf5ed09dd5a8f5c3c641f2369c03f77,2f416bcdd88ddfafce2f75456b4300d15bf5ed09dd5a8f5c3c641f2369c03f77,1,815001:815800,3,0,4,3,0,4
