position,seed,attempted,constructor_status,eligibility_decision,exclusion_reason,q_P,stratum,state_sha256,reload_sha256,rehash_status,cumulative_moderate,cumulative_strong,cumulative_very_strong
1,815001,1,REJECTED_BY_FROZEN_SEED_GUARD,UNAVAILABLE,"development seeds must be in [0, 799999]",,,,,NOT_RUN,,,
2,815002,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
3,815003,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
4,815004,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
5,815005,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
6,815006,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
7,815007,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
8,815008,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
9,815009,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
10,815010,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
11,815011,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
12,815012,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
13,815013,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
14,815014,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
15,815015,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
16,815016,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
17,815017,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
18,815018,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
19,815019,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
20,815020,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
21,815021,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
22,815022,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
23,815023,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
24,815024,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
25,815025,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
26,815026,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
27,815027,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
28,815028,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
29,815029,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
30,815030,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
31,815031,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
32,815032,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
33,815033,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
34,815034,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
35,815035,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
36,815036,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
37,815037,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
38,815038,0,NOT_CONSUMED_AFTER_MANDATORY_STOP,UNAVAILABLE,challenge stopped at first rejected seed,,,,,NOT_RUN,,,
