position,seed,history_length,ordinary_slice_count,overwhelming_slice_count,high_control_slice_count,low_control_slice_count,integrated_broadcast_slice_count,collapsed_broadcast_slice_count,profile_signature,q_T,q_D,q_P,m0,log_joint_T,log_joint_D,log_joint_P,log_likelihood_T,log_likelihood_D,log_likelihood_P,first_P_selection_time,first_qP_0_60_crossing_time,final_runner_up,cumulative_P_runner_up_log_BF,post_selection_log_BF,pre_and_selection_log_BF,stratum,eligible,retained,reason,state_sha256,reload_sha256,rehash_ok,released_block_authorization,cumulative_moderate,cumulative_strong,cumulative_very_strong,retained_moderate,retained_strong,retained_very_strong,q_P_ECDF,m0_ECDF
1,820001,6,4,2,1,5,3,3,L6-O2-LC5-CB3,0.07885863463657082,0.03234736322871481,0.8887940021347144,2.4222086754937826,-13.254159339806122,-14.145283644329876,-10.831950664312338,-12.561012159246177,-12.758989283209985,-9.445656303192447,2,2,T,3.1153558560537284,0.8182639227442678,2.297091933309461,strong,1,1,retained_first_eligible,cdfb4930901fd6a98b60bc9d34265ddcc57f2ac534cfe6f60d4099917434b713,cdfb4930901fd6a98b60bc9d34265ddcc57f2ac534cfe6f60d4099917434b713,1,820001:825504,0,1,0,0,1,0,0.12917877906976744,0.1237281976744186
2,820002,8,6,2,2,6,4,4,L8-O2-LC6-CB4,0.08273597011653189,0.05442182229695407,0.8628422075865141,2.3445773781720978,-17.448650618670026,-17.867539854543914,-15.104073240497929,-16.755503438110082,-16.481245493424023,-13.717778879378038,5,5,T,3.037724558732043,1.176270482604531,1.8614540761275122,strong,1,1,retained_first_eligible,785004d2e538a70ff6f88e90c2d090ee5e493cb732a45995dea0666a989140a1,785004d2e538a70ff6f88e90c2d090ee5e493cb732a45995dea0666a989140a1,1,820001:825504,0,2,0,0,2,0,0.11428052325581395,0.12191133720930232
3,820003,10,8,2,3,7,5,5,L10-O2-LC7-CB5,0.0009175477450409818,0.00036749495877367845,0.9987149572961853,6.992520072118465,-24.197758125272717,-25.11275314110315,-17.20523805315425,-23.504610944712773,-23.726458779983258,-15.81894369203436,5,5,T,7.68566725267841,5.6270810290384,2.0585862236400105,,0,0,above_nonsaturation_range,0b0c94442a3da213304bbf6fcd94088de3da8798a2774502e83c9c0286d55f8e,0b0c94442a3da213304bbf6fcd94088de3da8798a2774502e83c9c0286d55f8e,1,820001:825504,0,2,0,0,2,0,0.41587936046511625,0.4147892441860465
4,820004,12,9,3,3,9,6,6,L12-O3-LC9-CB6,0.00037295326163915585,0.00022117000065972444,0.9994058767377011,7.893463150264662,-26.468510771236854,-26.991032239549494,-18.575047620972192,-25.77536359067691,-25.604737878429603,-17.1887532598523,1,2,T,8.586610330824607,7.470038167419386,1.116572163405222,,0,0,above_nonsaturation_range,ad2c62d144c4b5b27a6ade548dce338769e3c080e764a3d864670668ae3acef1,ad2c62d144c4b5b27a6ade548dce338769e3c080e764a3d864670668ae3acef1,1,820001:825504,0,2,0,0,2,0,0.46620639534883723,0.47165697674418605
5,820005,16,12,4,4,12,8,8,L16-O4-LC12-CB8,1.21709224860693e-05,9.513761222245142e-06,0.9999783153162917,11.316439168912995,-35.083550818193686,-35.32986122214569,-23.76711164928068,-34.39040363763374,-33.9435668610258,-22.380817288160788,4,6,T,12.009586349472942,10.80426182789894,1.205324521574001,,0,0,above_nonsaturation_range,ee6aa16f3308c28f04efdf6b7c7f308a0bbdd9a7374c13e70f555f63f61a2576,ee6aa16f3308c28f04efdf6b7c7f308a0bbdd9a7374c13e70f555f63f61a2576,1,820001:825504,0,2,0,0,2,0,0.6493459302325582,0.6600654069767442
6,820006,20,15,5,5,15,10,10,L20-O5-LC15-CB10,7.144331705171076e-05,3.619504687026452e-05,0.9998923616360781,9.54649854702164,-43.06532809256892,-43.74531017667239,-33.51882954554727,-42.37218091200897,-42.3590158155525,-32.13253518442738,1,1,T,10.239645727581586,7.919962939684205,2.3196827878973805,,0,0,above_nonsaturation_range,2f60ac39c7fc630e7311fc330f2ab76a22722188bda27a2eb344ea261c9a1646,2f60ac39c7fc630e7311fc330f2ab76a22722188bda27a2eb344ea261c9a1646,1,820001:825504,0,2,0,0,2,0,0.5679505813953488,0.5699491279069767
7,820007,24,18,6,6,18,12,12,L24-O6-LC18-CB12,1.1664707817361372e-10,7.17252853271866e-12,0.9999999998761804,22.871868165455417,-55.786681625928225,-58.575576329340464,-32.91481346047281,-55.09353444536828,-57.18928196822058,-31.528519099352916,1,2,T,23.565015346015365,22.10313763577093,1.4618777102444311,,0,0,above_nonsaturation_range,7d906469d3566d1f847c35844aa69cb04d5f4f511caac421266a449287bbff77,7d906469d3566d1f847c35844aa69cb04d5f4f511caac421266a449287bbff77,1,820001:825504,0,2,0,0,2,0,0.9620276162790697,0.9576671511627907
8,820008,4,3,1,1,3,2,2,L4-O1-LC3-CB2,0.07208364731589326,0.047290101974827296,0.8806262507092794,2.502806089941966,-10.284426396791364,-10.705952596727814,-7.781620306849398,-9.591279216231419,-9.319658235607923,-6.395325945729507,3,3,T,3.1959532705019114,1.4618777102444311,1.7340755602574802,strong,1,1,retained_first_eligible,6446dec70d6265b9eb07650d169893861f688a9b16d6d2e31ff4309565ec0ebe,6446dec70d6265b9eb07650d169893861f688a9b16d6d2e31ff4309565ec0ebe,1,820001:825504,0,3,0,0,3,0,0.12154796511627906,0.12990552325581395
9,820009,6,4,2,1,5,3,3,L6-O2-LC5-CB3,0.00559114523001281,0.0021874903527404955,0.9922213644172466,5.1787620946202315,-15.77014390074334,-16.708573109063835,-10.59138180612311,-15.076996720183395,-15.322278747943944,-9.205087445003219,2,2,T,5.871909275180176,2.941855006771447,2.9300542684087296,,0,0,above_nonsaturation_range,672276f0508277c7d8bf96038edce8f7c4078b4b57d02decfbfc36e04c452f2b,672276f0508277c7d8bf96038edce8f7c4078b4b57d02decfbfc36e04c452f2b,1,820001:825504,0,3,0,0,3,0,0.29778343023255816,0.2956031976744186
10,820010,8,6,2,2,6,4,4,L8-O2-LC6-CB4,0.00022892213093260685,3.641493153359902e-05,0.9997346629375338,8.381863279561637,-19.18571379391223,-21.024116802546473,-10.803850514350597,-18.492566613352288,-19.637822441426582,-9.417556153230706,1,1,T,9.075010460121582,6.755327672224203,2.3196827878973805,,0,0,above_nonsaturation_range,c26e8fa7f0a9bd23e53dca610a9d1b1d81f8e3c36f9516db13a14f749e383429,c26e8fa7f0a9bd23e53dca610a9d1b1d81f8e3c36f9516db13a14f749e383429,1,820001:825504,0,3,0,0,3,0,0.5167151162790697,0.504905523255814
