seed,bank_seed,stratum,q0_P,avoidance_count,censored_count,total_M_PT,total_M_PD,withheld_BF_identity_PT,withheld_BF_identity_PD,availability_identity_error_PT,availability_identity_error_PD,closed_minus_yoked_direct_residual_PT,closed_minus_yoked_direct_residual_PD,policy_generated_censoring,interpretation
816001,820050,moderate,0.6229079404765608,9,3,2.289940848028536,1.6240531082233183,2.289940848028543,1.6240531082233172,7.105427357601002e-15,1.1102230246251565e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816002,820059,moderate,0.6794592846847677,11,4,4.249106076243784,3.5288351398816715,4.2491060762437876,3.5288351398816675,3.552713678800501e-15,3.9968028886505635e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816003,820073,moderate,0.6822014546982615,11,4,4.2491060762437876,3.528835139881668,4.2491060762437876,3.5288351398816675,0.0,4.440892098500626e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816004,820112,moderate,0.7340104068660231,13,5,5.445084784395036,5.088398684597884,5.445084784395037,5.08839868459788,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816005,820208,moderate,0.7343102217800038,15,5,3.7905660951957927,2.7675204084459466,3.790566095195794,2.767520408445948,1.3322676295501878e-15,1.3322676295501878e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816006,820211,moderate,0.6811609222375211,9,3,3.5879361244537478,4.678690634148637,3.587936124453748,4.678690634148639,4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816007,820264,moderate,0.734010406866023,10,4,3.8675128162117893,3.3562258964105993,3.86751281621179,3.356225896410599,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816008,820329,moderate,0.7475771867751676,12,4,5.928694612700994,6.7560819092780555,5.9286946127009905,6.756081909278058,3.552713678800501e-15,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816009,820344,moderate,0.6164326568952979,11,4,4.249106076243791,3.5288351398816644,4.2491060762437876,3.5288351398816675,3.552713678800501e-15,3.1086244689504383e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816010,820363,moderate,0.7386639910692617,12,4,3.867512816211793,3.3562258964105993,3.86751281621179,3.356225896410599,2.6645352591003757e-15,4.440892098500626e-16,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816011,820376,moderate,0.6564481890557478,16,10,7.530992495875672,3.722303830402982,7.530992495875671,3.72230383040298,1.7763568394002505e-15,2.220446049250313e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816012,820474,moderate,0.6466177772519742,8,5,5.445084784395036,5.08839868459788,5.445084784395037,5.08839868459788,1.7763568394002505e-15,0.0,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816013,820480,moderate,0.7017259406488322,14,9,10.889110335250741,10.947798541381673,10.889110335250736,10.947798541381669,5.329070518200751e-15,3.552713678800501e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816014,820506,moderate,0.6467356543173086,11,7,7.837042200697535,8.207525774030305,7.837042200697536,8.207525774030307,8.881784197001252e-16,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816015,820576,moderate,0.6412453615739127,13,8,9.147209790700174,8.584989042725997,9.147209790700177,8.584989042725995,3.552713678800501e-15,1.7763568394002505e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
816016,820584,moderate,0.6417651125426895,10,6,6.373659114365683,5.293252709822504,6.373659114365682,5.293252709822501,8.881784197001252e-16,2.6645352591003757e-15,0.0,0.0,1,"Availability identity and endogenous policy feedback are complementary causal results, not additive coefficient terms."
