seed,bank_seed,stratum,dose,schedule,M_PT,M_PD,delivered_count,censored_count,mechanistic_error_PT,mechanistic_error_PD,matched_evidence_schedule_error
816001,820050,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,3.552713678800501e-15,0.0
816001,820050,moderate,0.25,front_loaded,8.498212152487575,7.057670279763336,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816001,820050,moderate,0.35,front_loaded,12.200337158792713,10.554260637891453,21,11,0.0,0.0,0.0
816001,820050,moderate,0.5,front_loaded,17.645421943187753,15.642659322489335,16,16,3.552713678800501e-15,0.0,0.0
816001,820050,moderate,0.65,front_loaded,22.77575063543858,20.435392803172522,11,21,1.7763568394002505e-15,0.0,0.0
816001,820050,moderate,0.75,front_loaded,25.472354590757078,23.138423648111367,8,24,1.7763568394002505e-15,8.881784197001252e-16,0.0
816001,820050,moderate,1.0,front_loaded,33.680880498358405,30.806797217204466,0,32,0.0,0.0,0.0
816002,820059,moderate,0.0,front_loaded,0.0,0.0,32,0,0.0,7.105427357601002e-15,0.0
816002,820059,moderate,0.25,front_loaded,9.147209790700174,8.584989042725997,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816002,820059,moderate,0.35,front_loaded,12.467741536973318,11.908970157383045,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816002,820059,moderate,0.5,front_loaded,17.912826321368357,16.997368841980926,16,16,0.0,3.552713678800501e-15,0.0
816002,820059,moderate,0.65,front_loaded,24.388502004007993,23.78569553301254,11,21,1.7763568394002505e-15,0.0,0.0
816002,820059,moderate,0.75,front_loaded,27.32744049024914,26.937067404198515,8,24,0.0,1.7763568394002505e-15,0.0
816002,820059,moderate,1.0,front_loaded,36.09305702091732,35.349447203453444,0,32,0.0,0.0,0.0
816003,820073,moderate,0.0,front_loaded,0.0,0.0,32,0,0.0,3.552713678800501e-15,0.0
816003,820073,moderate,0.25,front_loaded,7.735025632423582,6.712451792821199,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816003,820073,moderate,0.35,front_loaded,10.406559740484123,8.509114144515586,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816003,820073,moderate,0.5,front_loaded,15.470051264847164,13.424903585642397,16,16,0.0,3.552713678800501e-15,0.0
816003,820073,moderate,0.65,front_loaded,19.8845451509976,16.813374263806548,11,21,3.552713678800501e-15,3.552713678800501e-15,0.0
816003,820073,moderate,0.75,front_loaded,22.174485999026146,18.437427372029866,8,24,0.0,1.7763568394002505e-15,0.0
816003,820073,moderate,1.0,front_loaded,32.352286687970924,28.722344421189593,0,32,0.0,0.0,0.0
816004,820112,moderate,0.0,front_loaded,0.0,0.0,32,0,0.0,3.552713678800501e-15,0.0
816004,820112,moderate,0.25,front_loaded,6.208652592295586,6.022014818936924,24,8,3.552713678800501e-15,3.552713678800501e-15,0.0
816004,820112,moderate,0.35,front_loaded,8.498593440324129,7.646067927160242,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816004,820112,moderate,0.5,front_loaded,13.943678224719168,12.734466611758123,16,16,3.552713678800501e-15,3.552713678800501e-15,0.0
816004,820112,moderate,0.65,front_loaded,18.358172110869603,16.122937289922273,11,21,3.552713678800501e-15,3.552713678800501e-15,0.0
816004,820112,moderate,0.75,front_loaded,22.06029711717475,19.61952764805039,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816004,820112,moderate,1.0,front_loaded,32.619691066151525,30.077053940681186,0,32,0.0,0.0,0.0
816005,820208,moderate,0.0,distributed,0.0,0.0,32,0,0.0,0.0,0.0
816005,820208,moderate,0.25,distributed,6.462100203256334,4.5641827601403335,24,8,0.0,0.0,0.0
816005,820208,moderate,0.35,distributed,9.061212750095315,6.513520934167161,21,11,3.552713678800501e-15,0.0,0.0
816005,820208,moderate,0.5,distributed,15.46446687151339,13.454523447531212,16,16,1.7763568394002505e-15,0.0,0.0
816005,820208,moderate,0.65,distributed,20.66721712498578,18.094581105881957,11,21,0.0,0.0,0.0
816005,820208,moderate,0.75,distributed,22.88473641179276,19.871310036437716,8,24,0.0,8.881784197001252e-16,0.0
