seed,seed_position,bank_seed,bank_state_sha256,stratum,q0_P,safe_reliability,action_cost,schedule,labels_permuted,base_censoring,context_shift,A_delta_L_PT,A_delta_L_PD,B_delta_L_PT,B_delta_L_PD,M_PT,M_PD,B_delivered,B_censored,B_avoidance,M_PT_per_withheld,M_PD_per_withheld,complete_delta_L_PT,complete_delta_L_PD,yoke_max_error,no_action_max_error,label_permutation_max_error,dose_M_PT,dose_M_PD,external_selected,identity_selected,generic_selected,generic_delta_L_PT,generic_delta_L_PD,root_revision_difference,transfer_difference,fixed_transfer_difference,fixed_M_PT,fixed_M_PD,withheld_BF_identity_PT,withheld_BF_identity_PD,availability_identity_error_PT,availability_identity_error_PD,direct_action_residual_PT,direct_action_residual_PD,policy_generated_censoring,maximum_slice_log_BF,maximum_update_identity_error,clone_ok,released_seed_authorization
816001,1,820050,c32c12b4d530bf79bebb7f69aa854866d3637eb28610fe4f14585cacbc751ceb,moderate,0.6229079404765608,high,default,front_loaded,True,0.35,True,-33.680880498358405,-30.806797217204466,-31.39093965032987,-29.182744108981147,2.289940848028536,1.6240531082233183,29,3,9,0.763313616009512,0.5413510360744395,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.498212152487575, 12.200337158792713, 17.645421943187753, 22.77575063543858, 25.472354590757078, 33.680880498358405]","[0.0, 7.057670279763336, 10.554260637891453, 15.642659322489335, 20.435392803172522, 23.138423648111367, 30.806797217204466]",D,P,T,-19.44185609764518,-17.83855608036396,0.0,0.0,0.0,2.289940848028536,1.6240531082233183,2.289940848028543,1.6240531082233172,7.105427357601002e-15,1.1102230246251565e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816002,2,820059,2aea0989626206cd4157385a506ac417827da012d59b5c84078e6a79a706d89a,moderate,0.6794592846847677,degraded,default,front_loaded,True,0.35,False,-36.09305702091732,-35.349447203453444,-31.843950944673537,-31.820612063571772,4.249106076243784,3.5288351398816715,28,4,11,1.062276519060946,0.8822087849704179,0.0,0.0,0.0,0.0,0.0,"[0.0, 9.147209790700174, 12.467741536973318, 17.912826321368357, 24.388502004007993, 27.32744049024914, 36.09305702091732]","[0.0, 8.584989042725997, 11.908970157383045, 16.997368841980926, 23.78569553301254, 26.937067404198515, 35.349447203453444]",D,P,T,-17.201452477978652,-12.949788044501844,2.665645482125001e-13,1.266209359584991e-13,0.0,4.249106076243784,3.5288351398816715,4.2491060762437876,3.5288351398816675,3.552713678800501e-15,3.9968028886505635e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816003,3,820073,8988b154b78ae5f71f6f4cc871fdd8619a2421c32e201812cd8f5da395be6a62,moderate,0.6822014546982615,high,elevated,front_loaded,False,0.35,False,-32.352286687970924,-28.722344421189593,-28.103180611727137,-25.193509281307925,4.2491060762437876,3.528835139881668,28,4,11,1.0622765190609469,0.882208784970417,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.735025632423582, 10.406559740484123, 15.470051264847164, 19.8845451509976, 22.174485999026146, 32.352286687970924]","[0.0, 6.712451792821199, 8.509114144515586, 13.424903585642397, 16.813374263806548, 18.437427372029866, 28.722344421189593]",D,P,T,-17.177936151021434,-15.066668100618363,0.0,0.0,0.0,4.2491060762437876,3.528835139881668,4.2491060762437876,3.5288351398816675,0.0,4.440892098500626e-16,0.0,0.0,1,2.3196827878973805,5.773159728050814e-15,1,816001:816900
816004,4,820112,dee82ce51c6f182eef035550cd77278f27b0aa3871eb37410ea0951c9aa775e3,moderate,0.7340104068660231,degraded,elevated,front_loaded,False,0.35,False,-32.619691066151525,-30.077053940681186,-27.17460628175649,-24.9886552560833,5.445084784395036,5.088398684597884,27,5,13,1.0890169568790071,1.0176797369195767,0.0,0.0,0.0,0.0,0.0,"[0.0, 6.208652592295586, 8.498593440324129, 13.943678224719168, 18.358172110869603, 22.06029711717475, 32.619691066151525]","[0.0, 6.022014818936924, 7.646067927160242, 12.734466611758123, 16.122937289922273, 19.61952764805039, 30.077053940681186]",D,P,T,-7.3598032710222165,-5.010567187497285,2.667773487674552e-07,7.259247586377526e-08,0.0,5.445084784395036,5.088398684597884,5.445084784395037,5.08839868459788,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,1,2.3196827878973805,5.773159728050814e-15,1,816001:816900
816005,5,820208,888cfa06cdd46fa7ce6b915aff81abf1824f089b50d504a5c4eca2d5e877e817,moderate,0.7343102217800038,high,default,distributed,True,0.35,True,-29.444328023528616,-25.189185467490066,-25.653761928332823,-22.42166505904412,3.7905660951957927,2.7675204084459466,27,5,15,0.7581132190391585,0.5535040816891893,0.0,0.0,0.0,0.0,0.0,"[0.0, 6.462100203256334, 9.061212750095315, 15.46446687151339, 20.66721712498578, 22.88473641179276, 29.444328023528616]","[0.0, 4.5641827601403335, 6.513520934167161, 13.454523447531212, 18.094581105881957, 19.871310036437716, 25.189185467490066]",D,P,T,-16.366118706024707,-14.302465597115294,0.0,0.0,0.0,3.7905660951957927,2.7675204084459466,3.790566095195794,2.767520408445948,1.3322676295501878e-15,1.3322676295501878e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816006,6,820211,7c1174c211db23ddb349720ba8ba74e5a52fe76a2e768a5780c79ffccc958b39,moderate,0.6811609222375211,degraded,default,distributed,True,0.35,False,-36.51367689542714,-39.24096651845715,-32.92574077097339,-34.56227588430851,3.5879361244537478,4.678690634148637,29,3,9,1.1959787081512492,1.5595635447162124,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.269834388784787, 11.208772875025932, 17.684448557665572, 23.778530980273214, 26.068471828301757, 36.51367689542714]","[0.0, 9.421870831804384, 12.573242702990363, 19.361569394021974, 25.977286841582515, 27.60133994980583, 39.24096651845715]",D,P,T,-15.879415859003501,-16.284127166289675,1.1146639167236572e-13,5.295763827461997e-14,0.0,3.5879361244537478,4.678690634148637,3.587936124453748,4.678690634148639,4.440892098500626e-16,1.7763568394002505e-15,0.0,0.0,1,2.670557431416735,4.440892098500626e-15,1,816001:816900
816007,7,820264,ddb7819d7203ea30c9a4a0675c70d547dc4a6efcc696df743bff6bde565345f5,moderate,0.734010406866023,high,elevated,distributed,False,0.35,False,-33.76447084624752,-30.59488167109439,-29.89695803003573,-27.238655774683792,3.8675128162117893,3.3562258964105993,28,4,10,0.9668782040529473,0.8390564741026498,0.0,0.0,0.0,0.0,0.0,"[0.0, 10.177800688944778, 13.498332435217922, 18.943417219612957, 23.357911105763396, 27.060036112068538, 33.76447084624752]","[0.0, 10.284917049159727, 13.608898163816775, 18.697296848414656, 22.085767526578806, 25.582357884706923, 30.59488167109439]",D,P,D,-19.425295778939116,-20.546959135908075,0.0,0.0,0.0,3.8675128162117893,3.3562258964105993,3.86751281621179,3.356225896410599,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816008,8,820329,141a975bd9829f9696b80ba3879a6b6ffa4c825302ce35c8a674968bd84a381a,moderate,0.7475771867751676,degraded,elevated,distributed,False,0.35,False,-35.71146376088533,-35.17683795998237,-29.782769148184336,-28.420756050704316,5.928694612700994,6.7560819092780555,28,4,12,1.4821736531752485,1.6890204773195139,0.0,0.0,0.0,0.0,0.0,"[0.0, 8.384023270636185, 11.704555016909328, 16.119048903059767, 22.21313132566741, 26.945847230217147, 35.71146376088533]","[0.0, 8.239770555783856, 11.563751670440904, 14.952222348605055, 21.567939796165597, 26.764458160727443, 35.17683795998237]",D,P,P,-1.09413960592989,0.8795135029795267,0.0,0.0,0.0,5.928694612700994,6.7560819092780555,5.9286946127009905,6.756081909278058,3.552713678800501e-15,2.6645352591003757e-15,0.0,0.0,1,2.670557431416735,5.773159728050814e-15,1,816001:816900
816009,9,820344,bca82518a26e7c999abb9891c3344b6f251c1fc6aba9bed8e3c0bd784f12b111,moderate,0.6164326568952979,high,default,front_loaded,True,0.35,True,-36.39105993306021,-35.73397199303458,-32.14195385681642,-32.205136853152915,4.249106076243791,3.5288351398816644,28,4,11,1.0622765190609478,0.8822087849704161,0.0,0.0,0.0,0.0,0.0,"[0.0, 10.559393948976776, 13.87992569524992, 20.737194637921558, 25.485930070140387, 28.182534025458885, 36.39105993306021]","[0.0, 10.457526292630789, 13.78150740728784, 20.74244334179052, 25.362567579002636, 28.06559842394148, 35.73397199303458]",T,P,D,-22.996290296850244,-27.345655178203927,0.0,0.0,0.0,4.249106076243791,3.5288351398816644,4.2491060762437876,3.5288351398816675,3.552713678800501e-15,3.1086244689504383e-15,0.0,0.0,1,2.3196827878973805,5.773159728050814e-15,1,816001:816900
816010,10,820363,c6da51b4a0109b1e729623f3370a7e45f359468c9f25de0c3809c7b4b825f090,moderate,0.7386639910692617,degraded,default,front_loaded,True,0.35,False,-32.61969106615153,-30.077053940681186,-28.75217824993974,-26.720828044270586,3.867512816211793,3.3562258964105993,28,4,12,0.9668782040529482,0.8390564741026498,0.0,0.0,0.0,0.0,0.0,"[0.0, 7.735025632423586, 11.055557378696726, 16.119048903059767, 21.945726947486804, 23.205076897270747, 32.61969106615153]","[0.0, 6.712451792821199, 10.036432907478247, 14.952222348605057, 20.21323027667401, 20.137355378463596, 30.077053940681186]",D,P,T,-18.175931427446642,-17.911305626543683,0.0,0.0,0.0,3.867512816211793,3.3562258964105993,3.86751281621179,3.356225896410599,2.6645352591003757e-15,4.440892098500626e-16,0.0,0.0,1,2.3196827878973805,4.6629367034256575e-15,1,816001:816900
