seed,position,used,reason,released_block_authorization
816001,1,1,paired_base_world,816001:816900
816002,2,1,paired_base_world,816001:816900
816003,3,1,paired_base_world,816001:816900
816004,4,1,paired_base_world,816001:816900
816005,5,1,paired_base_world,816001:816900
816006,6,1,paired_base_world,816001:816900
816007,7,1,paired_base_world,816001:816900
816008,8,1,paired_base_world,816001:816900
816009,9,1,paired_base_world,816001:816900
816010,10,1,paired_base_world,816001:816900
816011,11,1,paired_base_world,816001:816900
816012,12,1,paired_base_world,816001:816900
816013,13,1,paired_base_world,816001:816900
816014,14,1,paired_base_world,816001:816900
816015,15,1,paired_base_world,816001:816900
816016,16,1,paired_base_world,816001:816900
816017,17,1,paired_base_world,816001:816900
816018,18,1,paired_base_world,816001:816900
816019,19,1,paired_base_world,816001:816900
816020,20,1,paired_base_world,816001:816900
816021,21,1,paired_base_world,816001:816900
816022,22,1,paired_base_world,816001:816900
816023,23,1,paired_base_world,816001:816900
816024,24,1,paired_base_world,816001:816900
816025,25,1,paired_base_world,816001:816900
816026,26,1,paired_base_world,816001:816900
816027,27,1,paired_base_world,816001:816900
816028,28,1,paired_base_world,816001:816900
816029,29,1,paired_base_world,816001:816900
816030,30,1,paired_base_world,816001:816900
816031,31,1,paired_base_world,816001:816900
816032,32,1,paired_base_world,816001:816900
816033,33,1,paired_base_world,816001:816900
816034,34,1,paired_base_world,816001:816900
816035,35,1,paired_base_world,816001:816900
816036,36,1,paired_base_world,816001:816900
816037,37,1,paired_base_world,816001:816900
816038,38,1,paired_base_world,816001:816900
816039,39,1,paired_base_world,816001:816900
816040,40,1,paired_base_world,816001:816900
816041,41,1,paired_base_world,816001:816900
816042,42,1,paired_base_world,816001:816900
816043,43,1,paired_base_world,816001:816900
816044,44,1,paired_base_world,816001:816900
816045,45,1,paired_base_world,816001:816900
816046,46,1,paired_base_world,816001:816900
816047,47,1,paired_base_world,816001:816900
816048,48,1,paired_base_world,816001:816900
816049,49,1,paired_base_world,816001:816900
816050,50,1,paired_base_world,816001:816900
816051,51,1,paired_base_world,816001:816900
816052,52,1,paired_base_world,816001:816900
816053,53,1,paired_base_world,816001:816900
816054,54,1,paired_base_world,816001:816900
816055,55,1,paired_base_world,816001:816900
816056,56,1,paired_base_world,816001:816900
816057,57,1,paired_base_world,816001:816900
816058,58,1,paired_base_world,816001:816900
816059,59,1,paired_base_world,816001:816900
816060,60,1,paired_base_world,816001:816900
816061,61,1,paired_base_world,816001:816900
816062,62,1,paired_base_world,816001:816900
816063,63,1,paired_base_world,816001:816900
816064,64,1,paired_base_world,816001:816900
816065,65,1,paired_base_world,816001:816900
816066,66,1,paired_base_world,816001:816900
816067,67,1,paired_base_world,816001:816900
816068,68,1,paired_base_world,816001:816900
816069,69,1,paired_base_world,816001:816900
816070,70,1,paired_base_world,816001:816900
816071,71,1,paired_base_world,816001:816900
816072,72,1,paired_base_world,816001:816900
816073,73,1,paired_base_world,816001:816900
816074,74,1,paired_base_world,816001:816900
816075,75,1,paired_base_world,816001:816900
816076,76,1,paired_base_world,816001:816900
816077,77,1,paired_base_world,816001:816900
816078,78,1,paired_base_world,816001:816900
816079,79,1,paired_base_world,816001:816900
816080,80,1,paired_base_world,816001:816900
816081,81,1,paired_base_world,816001:816900
816082,82,1,paired_base_world,816001:816900
816083,83,1,paired_base_world,816001:816900
816084,84,1,paired_base_world,816001:816900
816085,85,1,paired_base_world,816001:816900
816086,86,1,paired_base_world,816001:816900
816087,87,1,paired_base_world,816001:816900
816088,88,1,paired_base_world,816001:816900
816089,89,1,paired_base_world,816001:816900
816090,90,1,paired_base_world,816001:816900
816091,91,1,paired_base_world,816001:816900
816092,92,1,paired_base_world,816001:816900
816093,93,1,paired_base_world,816001:816900
816094,94,1,paired_base_world,816001:816900
816095,95,1,paired_base_world,816001:816900
816096,96,1,paired_base_world,816001:816900
816097,97,1,paired_base_world,816001:816900
816098,98,1,paired_base_world,816001:816900
816099,99,1,paired_base_world,816001:816900
816100,100,1,paired_base_world,816001:816900
816101,101,1,paired_base_world,816001:816900
816102,102,1,paired_base_world,816001:816900
816103,103,1,paired_base_world,816001:816900
816104,104,1,paired_base_world,816001:816900
816105,105,1,paired_base_world,816001:816900
816106,106,1,paired_base_world,816001:816900
816107,107,1,paired_base_world,816001:816900
816108,108,1,paired_base_world,816001:816900
816109,109,1,paired_base_world,816001:816900
816110,110,1,paired_base_world,816001:816900
816111,111,1,paired_base_world,816001:816900
816112,112,1,paired_base_world,816001:816900
816113,113,1,paired_base_world,816001:816900
816114,114,1,paired_base_world,816001:816900
816115,115,1,paired_base_world,816001:816900
816116,116,1,paired_base_world,816001:816900
816117,117,1,paired_base_world,816001:816900
816118,118,1,paired_base_world,816001:816900
816119,119,1,paired_base_world,816001:816900
816120,120,1,paired_base_world,816001:816900
816121,121,0,not_used_after_first_eligible_120_world_population,816001:816900
816122,122,0,not_used_after_first_eligible_120_world_population,816001:816900
816123,123,0,not_used_after_first_eligible_120_world_population,816001:816900
816124,124,0,not_used_after_first_eligible_120_world_population,816001:816900
816125,125,0,not_used_after_first_eligible_120_world_population,816001:816900
816126,126,0,not_used_after_first_eligible_120_world_population,816001:816900
816127,127,0,not_used_after_first_eligible_120_world_population,816001:816900
816128,128,0,not_used_after_first_eligible_120_world_population,816001:816900
816129,129,0,not_used_after_first_eligible_120_world_population,816001:816900
816130,130,0,not_used_after_first_eligible_120_world_population,816001:816900
816131,131,0,not_used_after_first_eligible_120_world_population,816001:816900
816132,132,0,not_used_after_first_eligible_120_world_population,816001:816900
816133,133,0,not_used_after_first_eligible_120_world_population,816001:816900
816134,134,0,not_used_after_first_eligible_120_world_population,816001:816900
816135,135,0,not_used_after_first_eligible_120_world_population,816001:816900
816136,136,0,not_used_after_first_eligible_120_world_population,816001:816900
816137,137,0,not_used_after_first_eligible_120_world_population,816001:816900
816138,138,0,not_used_after_first_eligible_120_world_population,816001:816900
816139,139,0,not_used_after_first_eligible_120_world_population,816001:816900
816140,140,0,not_used_after_first_eligible_120_world_population,816001:816900
816141,141,0,not_used_after_first_eligible_120_world_population,816001:816900
816142,142,0,not_used_after_first_eligible_120_world_population,816001:816900
816143,143,0,not_used_after_first_eligible_120_world_population,816001:816900
816144,144,0,not_used_after_first_eligible_120_world_population,816001:816900
816145,145,0,not_used_after_first_eligible_120_world_population,816001:816900
816146,146,0,not_used_after_first_eligible_120_world_population,816001:816900
816147,147,0,not_used_after_first_eligible_120_world_population,816001:816900
816148,148,0,not_used_after_first_eligible_120_world_population,816001:816900
816149,149,0,not_used_after_first_eligible_120_world_population,816001:816900
816150,150,0,not_used_after_first_eligible_120_world_population,816001:816900
816151,151,0,not_used_after_first_eligible_120_world_population,816001:816900
816152,152,0,not_used_after_first_eligible_120_world_population,816001:816900
816153,153,0,not_used_after_first_eligible_120_world_population,816001:816900
816154,154,0,not_used_after_first_eligible_120_world_population,816001:816900
816155,155,0,not_used_after_first_eligible_120_world_population,816001:816900
816156,156,0,not_used_after_first_eligible_120_world_population,816001:816900
816157,157,0,not_used_after_first_eligible_120_world_population,816001:816900
816158,158,0,not_used_after_first_eligible_120_world_population,816001:816900
816159,159,0,not_used_after_first_eligible_120_world_population,816001:816900
816160,160,0,not_used_after_first_eligible_120_world_population,816001:816900
816161,161,0,not_used_after_first_eligible_120_world_population,816001:816900
816162,162,0,not_used_after_first_eligible_120_world_population,816001:816900
816163,163,0,not_used_after_first_eligible_120_world_population,816001:816900
816164,164,0,not_used_after_first_eligible_120_world_population,816001:816900
816165,165,0,not_used_after_first_eligible_120_world_population,816001:816900
816166,166,0,not_used_after_first_eligible_120_world_population,816001:816900
816167,167,0,not_used_after_first_eligible_120_world_population,816001:816900
816168,168,0,not_used_after_first_eligible_120_world_population,816001:816900
816169,169,0,not_used_after_first_eligible_120_world_population,816001:816900
816170,170,0,not_used_after_first_eligible_120_world_population,816001:816900
816171,171,0,not_used_after_first_eligible_120_world_population,816001:816900
816172,172,0,not_used_after_first_eligible_120_world_population,816001:816900
816173,173,0,not_used_after_first_eligible_120_world_population,816001:816900
816174,174,0,not_used_after_first_eligible_120_world_population,816001:816900
816175,175,0,not_used_after_first_eligible_120_world_population,816001:816900
816176,176,0,not_used_after_first_eligible_120_world_population,816001:816900
816177,177,0,not_used_after_first_eligible_120_world_population,816001:816900
816178,178,0,not_used_after_first_eligible_120_world_population,816001:816900
816179,179,0,not_used_after_first_eligible_120_world_population,816001:816900
816180,180,0,not_used_after_first_eligible_120_world_population,816001:816900
816181,181,0,not_used_after_first_eligible_120_world_population,816001:816900
816182,182,0,not_used_after_first_eligible_120_world_population,816001:816900
