seed,length,acute_count,acute_widths,control_level,action_dependence,low_control_fraction,chronic_profile,scheduled_dose,available_formation_margin,available_formed,available_final_persistent_probability,available_max_step_change,available_realized_avoidance_mediator,available_avoidance_rate,available_realized_event_fraction,replay_formation_margin,replay_formed,replay_final_persistent_probability,replay_max_step_change,replay_realized_avoidance_mediator,replay_avoidance_rate,replay_realized_event_fraction
809301,120,0,,1,0.0,1.0,steady-low,0.08333333333333333,-2.118082200048619,0,0.6150034218728264,0.0605446364671719,0.225,0.4583333333333333,0.06666666666666667,0.17268050040291572,0,0.8076553149443975,0.04563760403345363,0.0,0.0,0.08333333333333333
809302,90,0,,1,0.0,1.0,none,0.0,0.23566979406179733,0,0.8414955925240267,0.05763823231386578,0.0,0.0,0.0,0.23566979406179733,0,0.8414955925240267,0.05763823231386578,0.0,0.0,0.0
809303,60,0,,1,0.0,1.0,bursty-moderate,0.18333333333333332,-1.2543163865480955,0,0.5360716381242796,0.04645086765444062,0.16666666666666666,0.43333333333333335,0.08333333333333333,-0.2899520523146317,0,0.6976040318861184,0.05438166704691372,0.0,0.0,0.18333333333333332
809304,60,0,,1,0.0,1.0,steady-low,0.08333333333333333,-0.08893230371706817,0,0.7386488866473793,0.04044715986490871,0.1,0.3333333333333333,0.06666666666666667,0.4460170220956532,0,0.7718008155411031,0.04579753318814872,0.0,0.0,0.08333333333333333
809305,120,0,,1,0.0,1.0,none,0.0,0.13654146064680917,0,0.753974721025179,0.04419708912352249,0.0,0.0,0.0,0.13654146064680917,0,0.753974721025179,0.04419708912352249,0.0,0.0,0.0
809306,120,0,,1,0.0,1.0,bursty-moderate,0.18333333333333332,-1.3826388058726944,0,0.6911782382148857,0.05157448462321529,0.175,0.36666666666666664,0.125,-0.3376132651303352,0,0.7478066946590546,0.052702917103113034,0.0,0.0,0.18333333333333332
809307,120,0,,1,0.0,1.0,steady-low,0.08333333333333333,1.460078996338534,1,0.8960722442210909,0.0488122575649555,0.08333333333333333,0.2916666666666667,0.058333333333333334,-0.588140647391846,0,0.7095509975278576,0.052753878865352044,0.0,0.0,0.08333333333333333
809308,90,0,,1,0.0,1.0,bursty-moderate,0.17777777777777778,-0.241622245036627,0,0.6979020316627714,0.049115245612473935,0.12222222222222222,0.28888888888888886,0.14444444444444443,0.6889476082046062,0,0.7761380129298385,0.048256592896956385,0.0,0.0,0.17777777777777778
809309,90,0,,2,0.25,0.75,none,0.0,1.2141731622772653,1,0.857923535186002,0.050152306382057366,0.0,0.0,0.0,1.2141731622772653,1,0.857923535186002,0.050152306382057366,0.0,0.0,0.0
809310,120,0,,2,0.25,0.75,bursty-moderate,0.18333333333333332,0.06409406278467178,0,0.738970196073841,0.04737951908569238,0.041666666666666664,0.2,0.13333333333333333,-0.08950795509779952,0,0.7231889848212055,0.052554654037461956,0.0,0.0,0.18333333333333332
809311,120,0,,2,0.25,0.75,bursty-moderate,0.18333333333333332,-0.5478509911167877,0,0.7168298798191306,0.052525253818254236,0.06666666666666667,0.275,0.11666666666666667,-0.09170395783592111,0,0.7061309210466905,0.03969436745536781,0.0,0.0,0.18333333333333332
809312,90,0,,2,0.25,0.75,steady-low,0.07777777777777778,1.571254779248792,1,0.8713306587944363,0.060804010069986925,0.08888888888888889,0.26666666666666666,0.05555555555555555,1.0121085806465198,1,0.8302737071827766,0.05117688018294886,0.0,0.0,0.07777777777777778
809313,120,0,,2,0.25,0.75,steady-low,0.08333333333333333,0.635043438197699,0,0.7670494902453854,0.0601121506590766,0.041666666666666664,0.2,0.075,-0.20830243942591808,0,0.7397895712889462,0.05567763205402665,0.0,0.0,0.08333333333333333
809314,60,0,,2,0.25,0.75,steady-low,0.08333333333333333,-0.16972408390559002,0,0.6083006134683924,0.05909139257169893,0.05,0.16666666666666666,0.05,-1.1862317248699743,0,0.48666532357908077,0.05766201985711594,0.0,0.0,0.08333333333333333
809315,90,0,,2,0.25,0.75,none,0.0,1.0035770742545564,1,0.830806117412034,0.04758571031399039,0.0,0.0,0.0,1.0035770742545564,1,0.830806117412034,0.04758571031399039,0.0,0.0,0.0
809316,60,0,,2,0.25,0.75,bursty-moderate,0.18333333333333332,0.3716692270695583,0,0.7317641900096474,0.039388579282639724,0.03333333333333333,0.21666666666666667,0.13333333333333333,-0.018816399848960552,0,0.6931967850782838,0.040440698021319776,0.0,0.0,0.18333333333333332
809317,120,0,,3,0.5,0.5,steady-low,0.08333333333333333,-0.4084018666417091,0,0.7324538023580915,0.056944197325128676,0.09166666666666666,0.38333333333333336,0.05,0.15731215324942682,0,0.6968134668574035,0.04521792600215746,0.0,0.0,0.08333333333333333
809318,60,0,,3,0.5,0.5,none,0.0,0.12246058085574552,0,0.6950692310331125,0.04337765911630309,0.0,0.0,0.0,0.12246058085574552,0,0.6950692310331125,0.04337765911630309,0.0,0.0,0.0
