parameter	multiplier	relational_final_self	relational_self_std	informational_final_self	self_gap	baseline_drift	danger_policy	cascade_rate
beta_se	0.8	0.999999999999241	5.814587874500361e-12	0.6385283019841802	0.36147169801506085	0.04199906519001033	7.534036082860898e-8	0.7166666666666667
beta_se	1.2	1.0	0.0	0.6377904538130762	0.3622095461869238	0.03907494853237002	5.849925009705261e-7	0.8166666666666667
gamma_se	0.8	0.9960225530929798	0.030760823491605038	0.6359326354178678	0.360089917675112	0.04018254744797005	5.545063224112299e-8	0.9833333333333333
gamma_se	1.2	1.0	0.0	0.6751082570221849	0.3248917429778151	0.04085528434652706	1.1994633428118312e-7	0.6166666666666667
pi_part	0.8	1.0	0.0	0.6258673547883086	0.37413264521169143	0.03373005711916714	7.835075480495126e-8	0.7333333333333333
pi_part	1.2	0.9999999999999993	1.3456858175318206e-15	0.6534824526677542	0.34651754733224516	0.04700306270037628	1.7157524366904678e-6	0.6666666666666666
lambda_ctx	0.8	0.9999999972966503	1.5912836485197767e-9	0.6070502694877014	0.392949727808949	0.038838015900779885	5.915305975045201e-7	0.9666666666666667
lambda_ctx	1.2	1.0	0.0	0.6486463193217327	0.35135368067826733	0.042200679462050764	2.3781373484644664e-7	0.7166666666666667
lambda_witness_max	0.8	0.9999999999998647	1.236149575953047e-13	0.6285040790350059	0.37149592096485873	0.04051189111927826	5.4075269073757944e-8	0.6333333333333333
lambda_witness_max	1.2	1.0	0.0	0.6258750046118852	0.37412499538811483	0.04051189111927826	8.49183179849546e-7	0.7166666666666667
alpha_witness	0.8	1.0	0.0	0.6579327881772444	0.34206721182275557	0.04051189111927826	1.1987824104567407e-7	0.7
alpha_witness	1.2	0.9999999999999994	1.2517420899851786e-15	0.6486275781470322	0.35137242185296724	0.04051189111927826	8.505299483932781e-7	0.7833333333333333
policy_precision	0.8	0.9960633924078234	0.030492831290106163	0.6387149899798052	0.35734840242801813	0.04051189111927826	6.581621366014363e-8	0.6833333333333333
policy_precision	1.2	1.0	2.0027873439762858e-16	0.6392540483208988	0.3607459516791012	0.04051189111927826	4.495720359437719e-8	0.7166666666666667
d_self_helpless	0.8	0.998059583081555	0.015030404819673514	0.6291811043224997	0.3688784787590552	0.04855202132889007	3.794644786043137e-8	0.6833333333333333
d_self_helpless	1.2	0.9940880416851403	0.0340055066543782	0.6426182134716475	0.3514698282134928	0.03471801393685456	3.610951649334429e-7	0.6666666666666666
d_threat_dangerous	0.8	1.0	2.6177076720613706e-16	0.6353393757967314	0.3646606242032686	0.03504075152762519	1.1218938399741847e-7	0.8166666666666667
d_threat_dangerous	1.2	0.9980523558688323	0.01508638656866139	0.6370252659533651	0.3610270899154673	0.0446472114521405	2.1138397959640165e-7	0.95
d_outcome_avoidance	0.8	1.0	2.0235421713049975e-16	0.6423054315922053	0.3576945684077947	0.04051189111927826	1.5764258861171763e-7	0.6666666666666666
d_outcome_avoidance	1.2	0.9939603661169104	0.046782802892791436	0.6298559332624618	0.3641044328544486	0.04051189111927826	1.732532635582626e-7	0.6666666666666666
